rf,std_rf,cp,std_cp,n_quartets,std_quartets,r_d,r_l,coal_unit,model
0.334733053,0.011375429,0.913158325,0.000285165,1180.04762,2.003000139,2,0.5,9,MLMSC-II
0.00039992,0.00039992,0.946852288,0.000321391,1024.434833,2.091939445,2,0.7,1,MLMSC-II
1.948410318,0.025583915,0.863108968,0.00031802,958.8912218,2.046833487,2,0.7,18,MLMSC-II
0.393121376,0.012416686,0.910262368,0.00031818,995.4019896,2.054719897,2,0.7,9,MLMSC-II
0.00239952,0.00097911,0.945554768,0.00034869,878.5491402,2.044372354,2,0.9,1,MLMSC-II
2.093981204,0.026524186,0.862829714,0.000334737,802.6626775,1.933889728,2,0.9,18,MLMSC-II
0.49310138,0.013987185,0.908930603,0.000339099,843.1610078,2.023046506,2,0.9,9,MLMSC-II
0.00319936,0.001263975,0.944270341,0.000359262,810.9695861,2.037745007,2,1,1,MLMSC-II
2.349130174,0.028294463,0.861868133,0.000348868,736.4391822,1.900034358,2,1,18,MLMSC-II
0.573085383,0.014892184,0.908223042,0.000350892,777.0631974,1.969560842,2,1,9,MLMSC-II
0.00559888,0.001597879,0.94438025,0.000371792,750.9022795,1.988623667,2,1.1,1,MLMSC-II
2.422315537,0.028222039,0.861540814,0.000359108,677.165227,1.833792612,2,1.1,18,MLMSC-II
0.620675865,0.015574607,0.90764915,0.000360457,722.1591282,1.913384548,2,1.1,9,MLMSC-II
0.01079784,0.002618264,0.944065111,0.000396146,644.015007,1.859875527,2,1.3,1,MLMSC-II
2.813837233,0.031357784,0.859568135,0.000378522,567.0488402,1.717933916,2,1.3,18,MLMSC-II
0.775844831,0.017366881,0.905643201,0.000385996,603.0766347,1.814986224,2,1.3,9,MLMSC-II
0.022395521,0.003378962,0.942576696,0.000419648,553.0487702,1.748086291,2,1.5,1,MLMSC-II
3.131373725,0.032778844,0.859952593,0.000400835,482.4338232,1.598936427,2,1.5,18,MLMSC-II
0.903019396,0.01895697,0.905647309,0.000399004,516.3480004,1.64606506,2,1.5,9,MLMSC-II
0.144371126,0.009804659,0.939598436,0.000469871,384.3693761,1.468865352,2,2,1,MLMSC-II
4.300739852,0.039579719,0.855997278,0.000472096,315.1427315,1.260293272,2,2,18,MLMSC-II
1.476904619,0.024790732,0.901863476,0.000459023,352.6833533,1.373791273,2,2,9,MLMSC-II
0.0019996,0.000893891,0.926393144,0.000350143,1160.067646,2.085232752,3,0.4,1,MLMSC-II
2.033193361,0.026085312,0.847629258,0.000321206,1107.896531,2.027001492,3,0.4,18,MLMSC-II
0.51029794,0.013659849,0.891937956,0.000330013,1136.109348,2.055221742,3,0.4,9,MLMSC-II
0.00359928,0.00132554,0.923812031,0.000371076,1049.038592,2.090933071,3,0.5,1,MLMSC-II
2.25074985,0.026968072,0.846753284,0.000343627,975.559928,2.01104251,3,0.5,18,MLMSC-II
