rf,std_rf,cp,std_cp,n_quartets,std_quartets,r_d,r_l,coal_unit,model
0.077584483,0.005490889,0.956261588,0.000125193,1230.378854,2.190777633,2,0.5,9,MLMSC-II
0,0,0.999470482,2.01E-05,1081.019716,2.221479533,2,0.7,1,MLMSC-II
1.073385323,0.019714081,0.902319786,0.000207491,964.9561688,2.046976602,2,0.7,18,MLMSC-II
0.096780644,0.006174035,0.955506377,0.000136113,1026.641852,2.181031858,2,0.7,9,MLMSC-II
0,0,0.999087504,2.92E-05,904.6366727,2.185748441,2,0.9,1,MLMSC-II
1.300139972,0.021417933,0.90180969,0.000219762,799.8584683,1.974716397,2,0.9,18,MLMSC-II
0.136372725,0.007328643,0.955003387,0.000144476,856.1378324,2.083773264,2,0.9,9,MLMSC-II
0,0,0.998894258,3.33E-05,836.5759548,2.119723207,2,1,1,MLMSC-II
1.438512298,0.022709262,0.901813944,0.000228213,735.0413117,1.946715327,2,1,18,MLMSC-II
0.172365527,0.008369159,0.954783651,0.000147633,790.5970406,2.001934044,2,1,9,MLMSC-II
0,0,0.998621199,3.97E-05,771.5277644,2.071822333,2,1.1,1,MLMSC-II
1.544491102,0.023154844,0.901514861,0.000235996,668.1006599,1.865784034,2,1.1,18,MLMSC-II
0.207158568,0.008964334,0.954374269,0.000154421,724.65018,1.968706265,2,1.1,9,MLMSC-II
0,0,0.99808219,5.06E-05,654.8939112,1.898533173,2,1.3,1,MLMSC-II
1.781243751,0.02489143,0.900609267,0.000251548,557.810108,1.712200314,2,1.3,18,MLMSC-II
0.272745451,0.010267323,0.95304331,0.000164301,607.3875325,1.821021421,2,1.3,9,MLMSC-II
0,0,0.9974397,6.39E-05,556.8079884,1.818987708,2,1.5,1,MLMSC-II
2.121975605,0.027368485,0.900105578,0.000264896,466.2682364,1.552439672,2,1.5,18,MLMSC-II
0.355128974,0.011812863,0.952538731,0.00017935,513.4881624,1.681997708,2,1.5,9,MLMSC-II
0.00719856,0.001956749,0.995470393,9.95E-05,378.8636773,1.466283398,2,2,1,MLMSC-II
3.092981404,0.033125384,0.897212455,0.000306785,303.1517397,1.211432705,2,2,18,MLMSC-II
0.713457309,0.016681718,0.948970773,0.000216296,341.4103579,1.326063591,2,2,9,MLMSC-II
0,0,0.999531208,1.65E-05,1271.021106,2.469449033,3,0.4,1,MLMSC-II
0.831433713,0.017261991,0.902854841,0.000195095,1122.521276,2.19773295,3,0.4,18,MLMSC-II
0.058788242,0.004942041,0.954744965,0.000126718,1206.903399,2.292411778,3,0.4,9,MLMSC-II
0,0,0.999289281,2.24E-05,1128.026805,2.400814458,3,0.5,1,MLMSC-II
0.99020196,0.018947005,0.902543914,0.000206104,980.9631674,2.138644902,3,0.5,18,MLMSC-II
0.086382723,0.005777597,0.954626793,0.000131603,1061.997141,2.279043661,3,0.5,9,MLMSC-II
0,0,0.998587471,3.64E-05,891.219796,2.241697458,3,0.7,1,MLMSC-II
1.25254949,0.020930207,0.902318836,0.000225628,755.6672266,2.000397617,3,0.7,18,MLMSC-II
0.149970006,0.0075769,0.953583103,0.000150179,821.4545191,2.104585294,3,0.7,9,MLMSC-II
0,0,0.997708487,5.23E-05,703.4883323,2.06912785,3,0.9,1,MLMSC-II
1.650869826,0.024139184,0.90091652,0.000249728,585.0868726,1.770665595,3,0.9,18,MLMSC-II
0.24595081,0.009953864,0.952015425,0.000165877,644.5386123,1.929331991,3,0.9,9,MLMSC-II
0.00039992,0.00039992,0.997125904,6.39E-05,626.4665367,1.988981077,3,1,1,MLMSC-II
1.943211358,0.02681811,0.900277115,0.000258591,518.9627874,1.689612991,3,1,18,MLMSC-II
0.276744651,0.010323667,0.951019021,0.00017471,575.5008298,1.79444797,3,1,9,MLMSC-II
