n_dups,std_dups,n_genes,std_genes,n_species,std_species,r_d,r_l,coal_unit,model
2.5352,0.006656249,16.16122,0.021314141,11.99147,0.010741328,2,1,9,MLMSC-II
2.36625,0.006551468,15.96376,0.021949499,11.81195,0.010989007,2,1.1,1,MLMSC-II
2.53709,0.006554744,15.31231,0.020059371,11.52074,0.010738783,2,1.1,18,MLMSC-II
2.46574,0.006564137,15.66279,0.021035646,11.68046,0.010870461,2,1.1,9,MLMSC-II
2.25066,0.006342452,15.07027,0.021267131,11.25774,0.011074318,2,1.3,1,MLMSC-II
2.402,0.006358299,14.37329,0.019442542,10.9232,0.010822458,2,1.3,18,MLMSC-II
2.33837,0.006384745,14.73919,0.020446253,11.08909,0.010978968,2,1.3,9,MLMSC-II
2.13882,0.006171197,14.27454,0.020649526,10.75473,0.011073046,2,1.5,1,MLMSC-II
2.27803,0.006157148,13.53489,0.018701912,10.40042,0.010745873,2,1.5,18,MLMSC-II
2.22554,0.006174391,13.90881,0.019581256,10.58019,0.010928426,2,1.5,9,MLMSC-II
1.92338,0.005749993,12.57298,0.018751988,9.6591,0.010742524,2,2,1,MLMSC-II
2.02137,0.005717557,11.78599,0.016910031,9.24963,0.010264999,2,2,18,MLMSC-II
1.97862,0.005743393,12.18199,0.017872663,9.46185,0.010539011,2,2,9,MLMSC-II
4.6053,0.0106336,22.28577,0.031034034,13.62235,0.009664763,3,0.4,1,MLMSC-II
4.91296,0.010384639,21.43172,0.027417201,13.46687,0.009558229,3,0.4,18,MLMSC-II
4.77803,0.010541295,21.85995,0.029254044,13.55057,0.009607984,3,0.4,9,MLMSC-II
4.42202,0.010352056,21.25952,0.030349328,13.13869,0.010218258,3,0.5,1,MLMSC-II
4.66018,0.010134636,20.27583,0.026951437,12.92301,0.010106129,3,0.5,18,MLMSC-II
4.55932,0.0103266,20.75552,0.028664049,13.03437,0.010192337,3,0.5,9,MLMSC-II
4.06838,0.00997914,19.34163,0.029143642,12.22332,0.010886049,3,0.7,1,MLMSC-II
4.2612,0.009680428,18.30471,0.025835474,11.9226,0.010769255,3,0.7,18,MLMSC-II
4.19793,0.0098248,18.84086,0.027389842,12.07486,0.01088076,3,0.7,9,MLMSC-II
3.78215,0.009482732,17.76719,0.027540503,11.42933,0.011178708,3,0.9,1,MLMSC-II
3.89836,0.00916159,16.59775,0.024272914,11.07986,0.010935146,3,0.9,18,MLMSC-II
3.84819,0.00935555,17.15049,0.025858181,11.2589,0.011069035,3,0.9,9,MLMSC-II
3.64769,0.009287946,17.04512,0.026898276,11.06472,0.011226788,3,1,1,MLMSC-II
3.75906,0.008933234,15.90784,0.02363814,10.7172,0.010936839,3,1,18,MLMSC-II
3.70558,0.009128297,16.4202,0.025110668,10.87893,0.011091256,3,1,9,MLMSC-II
3.50152,0.009060695,16.30736,0.026085427,10.69791,0.011185748,3,1.1,1,MLMSC-II
3.60871,0.008713919,15.19368,0.022842305,10.35353,0.010856585,3,1.1,18,MLMSC-II
3.57284,0.008911809,15.76262,0.024411916,10.52823,0.011031231,3,1.1,9,MLMSC-II
3.26047,0.008628766,15.06825,0.024565117,10.06506,0.011026091,3,1.3,1,MLMSC-II
3.3722,0.00833124,14.01257,0.02151451,9.71018,0.010628395,3,1.3,18,MLMSC-II
3.33801,0.008518587,14.5582,0.022950054,9.90386,0.010858322,3,1.3,9,MLMSC-II
3.08085,0.008274141,14.06957,0.023146435,9.53776,0.010786209,3,1.5,1,MLMSC-II
3.12954,0.007900976,12.91456,0.020038069,9.12507,0.010299609,3,1.5,18,MLMSC-II
3.10679,0.008054757,13.45853,0.021367957,9.33765,0.010540974,3,1.5,9,MLMSC-II
2.67849,0.007462209,11.9305,0.019757616,8.40712,0.009865268,3,2,1,MLMSC-II
2.68504,0.007005562,10.85486,0.016864845,7.97986,0.009269045,3,2,18,MLMSC-II
2.69449,0.007223978,11.37026,0.018118078,8.18887,0.009585661,3,2,9,MLMSC-II
6.56586,0.014600204,24.92897,0.038878456,13.17043,0.010308283,4,0.4,1,MLMSC-II
6.80417,0.013845935,23.49042,0.03349927,12.96916,0.010232113,4,0.4,18,MLMSC-II
6.73285,0.01424931,24.27707,0.036051566,13.09372,0.010219961,4,0.4,9,MLMSC-II
6.19625,0.014149034,23.38005,0.037455557,12.58404,0.010792671,4,0.5,1,MLMSC-II
6.38946,0.013367139,21.92117,0.032230814,12.36516,0.010648339,4,0.5,18,MLMSC-II
6.31309,0.01380386,22.64934,0.034801567,12.49174,0.010737573,4,0.5,9,MLMSC-II
5.57178,0.01322618,20.71254,0.034776178,11.53652,0.011294881,4,0.7,1,MLMSC-II
5.69104,0.012509293,19.25029,0.029948763,11.26323,0.011036839,4,0.7,18,MLMSC-II
5.64175,0.01283092,19.97227,0.032183374,11.41022,0.01115907,4,0.7,9,MLMSC-II
5.09126,0.012467424,18.66469,0.032277853,10.67884,0.011292955,4,0.9,1,MLMSC-II
5.09627,0.011553084,17.03254,0.02727668,10.32475,0.010959958,4,0.9,18,MLMSC-II
5.08149,0.011972131,17.74527,0.029422163,10.4929,0.011113781,4,0.9,9,MLMSC-II
4.85979,0.012091823,17.66191,0.030812143,10.27712,0.011183197,4,1,1,MLMSC-II
4.85751,0.01122773,16.10727,0.026256598,9.9077,0.010813084,4,1,18,MLMSC-II
4.85913,0.011578368,16.86072,0.028271855,10.10906,0.011012977,4,1,9,MLMSC-II
4.64199,0.011633733,16.76772,0.029357852,9.90999,0.011063567,4,1.1,1,MLMSC-II
4.5831,0.010710756,15.15858,0.024745962,9.50562,0.010643111,4,1.1,18,MLMSC-II
4.63047,0.011174168,15.95009,0.026888336,9.71955,0.010836399,4,1.1,9,MLMSC-II
4.28436,0.010885935,15.26215,0.026838913,9.2659,0.01068009,4,1.3,1,MLMSC-II
4.19676,0.01000691,13.71183,0.022544342,8.84888,0.010156636,4,1.3,18,MLMSC-II
4.22847,0.010370149,14.41573,0.024367682,9.05328,0.010421358,4,1.3,9,MLMSC-II
3.95921,0.010292994,13.95697,0.024726178,8.68966,0.010224585,4,1.5,1,MLMSC-II
3.87085,0.009337247,12.48622,0.020438754,8.26879,0.009638452,4,1.5,18,MLMSC-II
3.92676,0.009750021,13.19113,0.022339073,8.49133,0.009950942,4,1.5,9,MLMSC-II
3.36858,0.008863401,11.5507,0.020029336,7.59202,0.008973858,4,2,1,MLMSC-II
3.23749,0.007918302,10.19642,0.01608184,7.15855,0.008233614,4,2,18,MLMSC-II
3.32221,0.008420298,10.83718,0.017928578,7.3647,0.008607966,4,2,9,MLMSC-II
4.00272,0.010071442,11.31886,0.019801268,7.03741,0.00815285,5,2,1,MLMSC-II
3.67949,0.008602579,9.7001,0.015390184,6.59769,0.00737647,5,2,18,MLMSC-II
3.83473,0.009254146,10.45372,0.017298352,6.81646,0.007773618,5,2,9,MLMSC-II
8.85586,0.019453226,28.0003,0.047581463,12.81235,0.010730299,5,0.4,1,MLMSC-II
8.84376,0.017858356,25.74535,0.039974795,12.59273,0.0106365,5,0.4,18,MLMSC-II
8.87605,0.018643646,26.83112,0.04342091,12.70649,0.010706688,5,0.4,9,MLMSC-II
8.23069,0.018638154,25.85418,0.045151735,12.16567,0.011173016,5,0.5,1,MLMSC-II
8.1948,0.017010627,23.69166,0.037874789,11.93372,0.010982635,5,0.5,18,MLMSC-II
8.24191,0.017677461,24.74635,0.040972697,12.06633,0.011076711,5,0.5,9,MLMSC-II
7.2622,0.017054648,22.42732,0.040677184,11.05472,0.011424822,5,0.7,1,MLMSC-II
7.07104,0.015403698,20.12356,0.033692959,10.72712,0.011155573,5,0.7,18,MLMSC-II
7.17798,0.016129986,21.19269,0.036634962,10.89622,0.011304016,5,0.7,9,MLMSC-II
6.4471,0.015530513,19.59572,0.036111724,10.1248,0.011247663,5,0.9,1,MLMSC-II
6.20882,0.013885801,17.4226,0.029770216,9.74541,0.010840586,5,0.9,18,MLMSC-II
6.33275,0.014644378,18.41822,0.032447931,9.93868,0.011028083,5,0.9,9,MLMSC-II
6.13565,0.014952161,18.49697,0.034300587,9.73585,0.011034499,5,1,1,MLMSC-II
5.86934,0.013238392,16.33151,0.027880945,9.34033,0.010597244,5,1,18,MLMSC-II
5.9905,0.013979151,17.30712,0.030699104,9.53999,0.010857458,5,1,9,MLMSC-II
5.80458,0.014369662,17.38366,0.03259235,9.34514,0.010846371,5,1.1,1,MLMSC-II
5.51792,0.012582868,15.25011,0.02614835,8.92422,0.010268653,5,1.1,18,MLMSC-II
5.66583,0.013345523,16.23685,0.028960489,9.11774,0.010553591,5,1.1,9,MLMSC-II
5.25377,0.013135099,15.50304,0.02888275,8.67398,0.010259959,5,1.3,1,MLMSC-II
4.94387,0.01148274,13.49863,0.023180957,8.22905,0.009668381,5,1.3,18,MLMSC-II
5.12598,0.012217413,14.48891,0.025645174,8.46328,0.009972026,5,1.3,9,MLMSC-II
