"colless","std_colless","r_d","r_l","coal_unit","model"
0.171428571428571,0,0,0,1,"MLMSC-II"
0.171428571428571,0,0,0,1,"MLMSC-II"
0.171428571428571,0,0,0,1,"MLMSC-II"
0.171428571428571,0,0,0,1,"MLMSC-II"
0.171428571428571,0,0,0,1,"MLMSC-II"
0.171428571428571,0,0,0,1,"MLMSC-II"
0.171428571428571,0,0,0,1,"MLMSC-II"
0.171428571428571,0,0,0,1,"MLMSC-II"
0.171428571428571,0,0,0,1,"MLMSC-II"
0.201057142857143,0.00164020736865342,0,0,18,"MLMSC-II"
0.201057142857143,0.00164020736865342,0,0,18,"MLMSC-II"
0.201057142857143,0.00164020736865342,0,0,18,"MLMSC-II"
0.201057142857143,0.00164020736865342,0,0,18,"MLMSC-II"
0.201057142857143,0.00164020736865342,0,0,18,"MLMSC-II"
0.201057142857143,0.00164020736865342,0,0,18,"MLMSC-II"
0.201057142857143,0.00164020736865342,0,0,18,"MLMSC-II"
0.201057142857143,0.00164020736865342,0,0,18,"MLMSC-II"
0.201057142857143,0.00164020736865342,0,0,18,"MLMSC-II"
0.179942857142857,0.00118678636911712,0,0,9,"MLMSC-II"
0.179942857142857,0.00118678636911712,0,0,9,"MLMSC-II"
0.179942857142857,0.00118678636911712,0,0,9,"MLMSC-II"
0.179942857142857,0.00118678636911712,0,0,9,"MLMSC-II"
0.179942857142857,0.00118678636911712,0,0,9,"MLMSC-II"
0.179942857142857,0.00118678636911712,0,0,9,"MLMSC-II"
0.179942857142857,0.00118678636911712,0,0,9,"MLMSC-II"
0.179942857142857,0.00118678636911712,0,0,9,"MLMSC-II"
0.179942857142857,0.00118678636911712,0,0,9,"MLMSC-II"
0.173251122378849,0.00218078117163613,1,0.4,1,"MLMSC-II"
0.204167000595339,0.0026511170894839,1,0.4,18,"MLMSC-II"
0.18367139209319,0.002380567074787,1,0.4,9,"MLMSC-II"
0.172761575009913,0.00209465847176628,1,0.5,1,"MLMSC-II"
0.208710828670399,0.00317875459788504,1,0.5,18,"MLMSC-II"
0.187127238871271,0.00260896550934555,1,0.5,9,"MLMSC-II"
0.181128993402284,0.00260133670539464,1,0.7,1,"MLMSC-II"
0.216780676036124,0.00325741061425753,1,0.7,18,"MLMSC-II"
0.199492472952522,0.00322185028514924,1,0.7,9,"MLMSC-II"
0.198043125593717,0.00343177541141445,1,0.9,1,"MLMSC-II"
0.229915072153039,0.00355681078376229,1,0.9,18,"MLMSC-II"
0.210372041932956,0.00351156908233959,1,0.9,9,"MLMSC-II"
0.210689120474694,0.00374832097148579,1,1.1,1,"MLMSC-II"
0.233508959381613,0.00395377078312897,1,1.1,18,"MLMSC-II"
0.211125299289278,0.00366796407222763,1,1.1,9,"MLMSC-II"
0.212273105135982,0.00388876909453776,1,1.3,1,"MLMSC-II"
0.254826790207948,0.00482767969438421,1,1.3,18,"MLMSC-II"
0.227913927724769,0.00427034247072952,1,1.3,9,"MLMSC-II"
0.211609139296496,0.0039857269124893,1,1.5,1,"MLMSC-II"
0.254635042129027,0.00489422295465975,1,1.5,18,"MLMSC-II"
0.233752571502685,0.00437076488520685,1,1.5,9,"MLMSC-II"
0.205686152653433,0.00406729491551815,1,1,1,"MLMSC-II"
0.238611417343204,0.00433098818150291,1,1,18,"MLMSC-II"
0.219687649326861,0.00399813041120433,1,1,9,"MLMSC-II"
0.24190225017322,0.00509681302596484,1,2,1,"MLMSC-II"
0.282005445108881,0.00530845024486496,1,2,18,"MLMSC-II"
0.255029422958353,0.00475179698513453,1,2,9,"MLMSC-II"
0.176654111400104,0.00313459934398091,2,0.4,1,"MLMSC-II"
0.204789418567374,0.0034288779496015,2,0.4,18,"MLMSC-II"
0.17996024993431,0.00261576555132692,2,0.4,9,"MLMSC-II"
0.198778865436088,0.00346406056157264,2,0.7,1,"MLMSC-II"
0.235587727200857,0.00459429204406736,2,0.7,18,"MLMSC-II"
0.204556982904075,0.0033932069536659,2,0.7,9,"MLMSC-II"
0.214768823781544,0.00420166737342892,2,0.9,1,"MLMSC-II"
0.24299073919522,0.00470971747329832,2,0.9,18,"MLMSC-II"
0.229790981481688,0.00438982585970756,2,0.9,9,"MLMSC-II"
0.180209287430062,0.00277950925302653,2,0.5,1,"MLMSC-II"
0.214379873227639,0.00363972384629818,2,0.5,18,"MLMSC-II"
0.190833862753191,0.00307836360806207,2,0.5,9,"MLMSC-II"
0.227739105064561,0.00439599643914937,2,1.1,1,"MLMSC-II"
0.259938239036239,0.00500307912141395,2,1.1,18,"MLMSC-II"
0.236055048880885,0.00473766545558429,2,1.1,9,"MLMSC-II"
0.237966423363546,0.00482389089639739,2,1.3,1,"MLMSC-II"
0.296556880741225,0.00614030076507476,2,1.3,18,"MLMSC-II"
0.257364283352097,0.00531615351131301,2,1.3,9,"MLMSC-II"
0.22016012837925,0.00444407685870921,2,1,1,"MLMSC-II"
0.26057274899426,0.00548797331139756,2,1,18,"MLMSC-II"
0.235737650849048,0.00430039168870528,2,1,9,"MLMSC-II"
0.246177742013447,0.00480605230044031,2,1.5,1,"MLMSC-II"
0.29104941571877,0.00605409006835179,2,1.5,18,"MLMSC-II"
0.273293428851321,0.0053969099859179,2,1.5,9,"MLMSC-II"
0.293341145150938,0.00628076476903123,2,2,1,"MLMSC-II"
0.344378297901632,0.00740930761369117,2,2,18,"MLMSC-II"
0.314464432861859,0.00677002309064447,2,2,9,"MLMSC-II"
0.17178690539459,0.00307798196460077,3,0.4,1,"MLMSC-II"
0.205952358773234,0.00368718860898767,3,0.4,18,"MLMSC-II"
0.184750769074311,0.00298535158821839,3,0.4,9,"MLMSC-II"
0.174102493549278,0.00314159578404813,3,0.5,1,"MLMSC-II"
0.21519391484161,0.00390673194225619,3,0.5,18,"MLMSC-II"
0.19052158480438,0.00356053759274941,3,0.5,9,"MLMSC-II"
0.191442970482504,0.0034041482876213,3,0.7,1,"MLMSC-II"
0.240862323796734,0.00484590509725838,3,0.7,18,"MLMSC-II"
0.213337383887208,0.00391513876738342,3,0.7,9,"MLMSC-II"
0.220124411155672,0.00435212821338525,3,0.9,1,"MLMSC-II"
0.263204320326792,0.00536721677221429,3,0.9,18,"MLMSC-II"
0.238074370315595,0.00487726793618621,3,0.9,9,"MLMSC-II"
0.240299387012304,0.00511065882013008,3,1.1,1,"MLMSC-II"
0.284217549145336,0.00545531113701525,3,1.1,18,"MLMSC-II"
0.263498233330774,0.0055040765357072,3,1.1,9,"MLMSC-II"
0.25949308658623,0.00551418268646646,3,1.3,1,"MLMSC-II"
0.304122115974811,0.0062505098042638,3,1.3,18,"MLMSC-II"
0.269545400111643,0.00561120689746874,3,1.3,9,"MLMSC-II"
0.235070148155035,0.00500080494825377,3,1,1,"MLMSC-II"
0.279210893190275,0.00573009633607701,3,1,18,"MLMSC-II"
0.245454885708696,0.00514837476442667,3,1,9,"MLMSC-II"
0.275504245377062,0.0060518359958508,3,1.5,1,"MLMSC-II"
0.329498125248699,0.00643280900240623,3,1.5,18,"MLMSC-II"
0.291496058235924,0.00628829715445988,3,1.5,9,"MLMSC-II"
0.335098772033953,0.00734416085496592,3,2,1,"MLMSC-II"
0.375669797618788,0.00759368595385784,3,2,18,"MLMSC-II"
0.341038944686712,0.00698448529155048,3,2,9,"MLMSC-II"
0.163970223190103,0.00328045789545808,4,0.4,1,"MLMSC-II"
0.197128344741551,0.00378729350731034,4,0.4,18,"MLMSC-II"
0.176928912251581,0.00327552329706719,4,0.4,9,"MLMSC-II"
0.203981424161881,0.00397077026123097,4,0.7,1,"MLMSC-II"
0.236735125581052,0.00477333029567873,4,0.7,18,"MLMSC-II"
0.217361460849172,0.00430097450428926,4,0.7,9,"MLMSC-II"
0.179309750301228,0.00335058699505109,4,0.5,1,"MLMSC-II"
0.212646498250786,0.00411132490244988,4,0.5,18,"MLMSC-II"
0.191288997919281,0.00362190059704047,4,0.5,9,"MLMSC-II"
0.225449925195942,0.00469407166830151,4,0.9,1,"MLMSC-II"
0.268085467197784,0.00564691165335572,4,0.9,18,"MLMSC-II"
0.241555569035277,0.00505561463201991,4,0.9,9,"MLMSC-II"
0.251318455015822,0.00547301914525449,4,1.1,1,"MLMSC-II"
0.299886421443478,0.00645853163617684,4,1.1,18,"MLMSC-II"
0.26347811801547,0.0054932165441409,4,1.1,9,"MLMSC-II"
0.236682592257063,0.00501902309259776,4,1,1,"MLMSC-II"
0.29012604909269,0.00593106906308811,4,1,18,"MLMSC-II"
0.255261611641885,0.00547760068727706,4,1,9,"MLMSC-II"
0.281343531894773,0.00653326867934219,4,1.3,1,"MLMSC-II"
0.317757202953641,0.0066677884525913,4,1.3,18,"MLMSC-II"
0.297915872913079,0.00646375656452562,4,1.3,9,"MLMSC-II"
0.307410318671797,0.00655099471930602,4,1.5,1,"MLMSC-II"
0.34049942651877,0.00721130075863523,4,1.5,18,"MLMSC-II"
0.317929088175186,0.00681640113583715,4,1.5,9,"MLMSC-II"
0.353935350834273,0.00746607430909915,4,2,1,"MLMSC-II"
0.391195830549584,0.00784662051576325,4,2,18,"MLMSC-II"
0.365216008782518,0.00794000416116925,4,2,9,"MLMSC-II"
0.365016329793229,0.00774374741637411,5,2,1,"MLMSC-II"
0.411296221472553,0.00820865828764303,5,2,18,"MLMSC-II"
0.37836449566892,0.0076646891712378,5,2,9,"MLMSC-II"
0.173721649059712,0.00381715472330279,5,0.5,1,"MLMSC-II"
0.205350314593725,0.00427834338425104,5,0.5,18,"MLMSC-II"
0.187108511925862,0.00382472485788509,5,0.5,9,"MLMSC-II"
0.163721777036778,0.00314736938361348,5,0.4,1,"MLMSC-II"
0.191176578600809,0.00359203759900074,5,0.4,18,"MLMSC-II"
0.171535663651626,0.00316209489867176,5,0.4,9,"MLMSC-II"
0.206196745211711,0.00464620023435948,5,0.7,1,"MLMSC-II"
0.239208399416008,0.00488775401347899,5,0.7,18,"MLMSC-II"
0.213827570277798,0.00466336451340655,5,0.7,9,"MLMSC-II"
0.233177700118325,0.00525783065847812,5,0.9,1,"MLMSC-II"
0.284274124467788,0.00597304395735214,5,0.9,18,"MLMSC-II"
0.242462399047981,0.00525846142246777,5,0.9,9,"MLMSC-II"
0.26224015806561,0.00556878098642349,5,1.1,1,"MLMSC-II"
0.298166189997611,0.00599305085366881,5,1.1,18,"MLMSC-II"
