n_d,n_genes,n_species
3,18,15
1,9,8
4,14,7
0,9,9
0,15,15
4,11,7
2,14,12
6,26,16
3,14,12
0,7,7
2,9,6
1,10,9
1,16,15
0,12,12
2,12,10
2,15,13
4,23,16
0,12,12
1,10,9
3,16,13
1,19,15
4,19,15
0,6,6
9,48,16
4,21,15
3,26,15
2,16,14
4,14,11
2,10,8
0,10,10
0,14,14
0,7,7
1,15,14
3,19,16
3,14,11
4,19,15
0,6,6
5,20,15
0,15,15
0,14,14
0,5,5
1,11,9
5,20,15
2,10,8
5,27,16
3,16,8
0,4,4
4,13,7
3,17,14
2,16,14
3,16,14
5,28,16
3,20,14
0,12,12
2,9,7
5,24,15
4,12,7
0,15,15
2,21,16
1,14,13
1,8,7
12,36,16
2,17,12
1,12,11
1,16,15
1,9,7
2,16,15
0,8,8
0,8,8
3,20,14
1,15,14
0,5,5
10,37,16
3,22,14
2,18,14
4,22,16
7,28,16
4,19,15
2,18,16
1,14,13
5,30,16
2,7,5
1,7,6
1,9,7
1,13,12
2,26,16
6,21,14
1,15,15
1,6,5
4,20,15
2,15,13
2,12,11
1,15,15
1,20,15
3,19,12
2,18,16
2,9,5
2,15,12
2,17,15
6,21,15
3,16,12
5,12,7
3,22,16
5,28,16
1,11,10
2,10,9
2,14,12
9,24,15
7,27,16
1,13,9
3,19,16
2,22,15
6,27,15
3,24,13
4,26,15
0,4,4
2,16,14
1,15,14
2,17,15
7,27,15
3,26,16
2,13,10
1,16,15
1,13,9
2,17,14
2,17,9
4,19,15
4,9,6
2,18,15
2,23,15
4,24,15
0,8,8
2,16,15
3,14,11
4,24,14
3,9,5
4,15,11
2,19,15
4,18,15
2,17,15
2,16,14
2,20,15
3,16,13
5,29,15
4,19,15
2,13,9
4,19,15
4,25,15
0,8,8
0,13,13
6,37,15
6,21,15
2,23,16
2,19,14
0,7,7
4,30,16
2,13,11
9,34,16
1,10,7
5,26,14
3,15,12
1,5,4
2,20,15
0,15,15
2,16,14
1,8,7
3,19,15
0,13,13
1,6,5
3,18,14
3,24,14
2,11,9
1,10,9
3,21,12
0,14,14
0,16,16
5,21,16
0,7,7
4,30,15
4,20,16
3,18,15
0,7,7
5,21,15
1,11,9
4,17,13
4,26,15
8,30,14
3,14,9
5,35,16
3,15,13
2,12,11
0,14,14
1,15,15
1,18,14
4,23,16
1,12,11
2,15,13
6,28,16
3,8,4
1,10,9
3,16,13
2,17,15
2,12,8
3,12,9
1,16,16
2,10,8
2,14,12
1,15,14
1,8,6
7,31,16
3,19,16
0,15,15
0,7,7
2,19,16
3,9,7
2,14,13
1,7,7
2,18,16
3,19,16
2,16,14
4,19,15
1,13,12
3,17,9
2,13,7
7,35,16
9,39,16
3,27,15
9,40,16
4,21,15
3,19,15
6,24,15
1,6,6
2,17,13
4,28,16
3,14,7
4,25,16
0,8,8
2,13,8
2,20,13
2,17,14
2,8,6
3,23,15
2,19,16
2,14,13
1,10,9
1,11,10
1,8,7
2,21,15
2,22,16
7,31,15
3,23,15
3,10,7
6,32,16
3,30,15
0,16,16
3,17,14
2,15,13
2,25,16
0,8,8
2,11,9
7,30,16
3,14,12
2,16,15
1,18,15
0,6,6
1,16,15
0,6,6
7,47,15
1,8,7
1,6,5
3,17,14
3,18,15
3,19,16
4,19,15
0,6,6
1,7,6
0,6,6
1,16,15
2,11,9
2,18,16
2,11,9
2,10,7
4,25,14
5,21,9
4,24,14
2,15,12
4,18,15
2,24,15
1,16,15
2,18,15
3,17,14
3,15,11
2,9,7
3,19,14
2,20,15
4,24,14
0,8,8
5,29,15
1,8,7
4,17,13
