n_d,n_genes,n_species
3,8,5
5,16,11
5,21,9
1,13,8
3,16,13
3,16,13
5,17,7
4,21,16
5,31,16
0,6,6
1,17,11
1,14,13
5,17,9
1,9,8
1,14,13
3,16,13
1,14,13
1,12,11
2,16,12
0,14,14
2,18,16
3,18,15
0,4,4
0,11,11
5,21,15
2,16,13
1,16,15
6,16,7
2,11,7
3,17,11
3,16,13
3,22,16
3,20,13
1,16,15
1,9,9
6,29,15
1,17,16
1,13,7
3,17,11
4,16,13
2,17,15
4,15,12
5,20,11
5,16,12
1,5,4
3,17,13
1,16,14
1,12,11
2,13,11
2,13,11
6,32,16
3,17,8
1,5,4
7,33,9
1,12,8
3,19,13
1,12,11
4,19,15
4,27,16
3,14,11
4,12,7
2,14,9
4,22,16
2,14,13
4,19,9
3,15,12
0,6,6
1,10,9
1,17,15
0,7,7
0,7,7
4,27,11
4,24,16
5,30,16
2,10,9
1,8,7
1,9,8
1,5,4
1,19,13
5,21,14
6,22,13
2,19,15
0,9,9
2,12,10
3,18,15
1,8,8
1,7,6
5,20,13
5,26,15
5,19,13
2,7,7
2,9,7
3,23,15
5,20,14
1,17,16
0,13,13
5,28,16
3,10,7
2,11,9
7,22,16
0,6,6
0,14,14
10,31,16
1,11,9
1,15,14
3,11,7
3,21,14
0,10,10
1,18,16
1,11,8
1,15,15
0,15,15
2,15,13
2,8,7
1,12,11
2,19,16
2,17,15
3,17,14
2,16,14
1,5,5
6,25,14
2,16,13
2,18,16
0,10,10
0,12,12
5,30,14
1,13,11
3,18,15
0,4,4
0,7,7
1,14,9
4,13,9
0,11,11
5,19,14
1,13,12
1,16,16
1,16,15
3,19,16
5,13,8
2,16,13
1,14,13
4,20,15
4,19,15
5,19,9
5,20,15
3,18,13
4,17,13
3,14,11
1,6,5
3,9,6
0,12,12
7,27,15
1,14,13
4,22,16
3,13,8
1,11,10
1,13,12
3,23,15
7,20,12
2,19,12
2,20,12
6,24,16
6,23,16
2,16,14
4,19,15
0,13,13
2,18,14
3,23,15
0,5,5
2,14,11
3,17,14
4,12,7
4,15,11
3,19,15
2,18,15
0,7,7
0,8,8
2,18,14
1,21,16
3,16,13
6,25,16
1,15,14
3,25,16
1,8,7
6,21,13
1,9,7
4,24,14
1,14,13
5,21,14
9,29,15
5,21,14
2,11,9
2,16,14
1,16,15
4,17,14
4,11,7
10,23,13
4,14,10
1,14,13
0,6,6
3,17,15
1,13,12
3,18,15
4,22,14
2,14,12
10,41,16
4,18,14
9,26,7
2,18,15
2,18,15
1,19,16
7,18,11
6,19,11
4,20,12
4,17,13
3,17,14
3,14,12
1,14,13
4,14,11
3,13,9
4,17,14
1,12,11
4,13,9
2,14,12
4,19,14
4,20,13
5,19,14
1,12,11
5,20,15
1,17,16
7,21,8
3,20,13
2,16,14
3,10,7
1,16,15
5,25,15
1,19,15
2,13,11
0,11,11
3,21,16
0,13,13
6,24,13
0,8,8
1,16,15
2,16,15
12,30,14
0,10,10
1,16,14
3,17,14
1,17,16
3,23,15
