n_d,n_genes,n_species
0,6,6
1,7,6
3,14,11
3,13,9
6,31,15
5,24,15
4,23,15
2,16,14
0,4,4
3,14,11
5,23,9
1,10,9
4,17,13
0,10,10
3,23,14
5,27,13
3,9,7
6,15,10
1,6,5
1,14,13
4,14,6
1,9,8
1,11,10
4,18,10
1,7,6
2,18,13
1,15,15
1,15,10
1,15,14
0,4,4
2,7,5
1,13,12
1,13,12
5,16,8
0,16,16
3,16,10
1,5,4
3,9,6
0,11,11
0,13,13
1,15,15
2,15,10
1,8,7
0,10,10
1,13,13
5,26,13
0,5,5
0,10,10
3,12,11
0,6,6
7,27,13
0,11,11
4,22,9
2,6,4
0,5,5
2,11,9
1,15,14
0,4,4
4,15,7
3,11,7
2,9,7
1,7,6
0,8,8
4,18,14
1,14,13
0,12,12
0,8,8
0,8,8
3,22,16
2,16,14
3,17,10
3,17,14
1,11,9
0,9,9
3,11,8
1,9,8
1,9,8
0,11,11
5,18,14
0,8,8
4,18,13
1,13,12
2,7,4
1,11,9
4,19,13
1,7,7
1,6,5
0,7,7
0,8,8
0,8,8
1,8,7
1,14,13
0,5,5
2,15,13
1,10,9
1,11,7
3,19,15
2,16,14
2,9,7
0,12,12
0,7,7
2,16,14
7,25,14
2,10,8
1,13,12
0,7,7
0,5,5
3,17,14
0,5,5
0,5,5
4,9,6
0,6,6
0,8,8
2,11,9
4,18,14
4,11,7
5,25,9
5,23,13
3,8,7
1,9,8
4,9,4
4,23,8
0,8,8
3,16,10
1,10,9
2,12,11
4,15,9
3,17,14
2,16,15
1,8,7
1,9,8
0,11,11
2,12,7
7,26,14
0,7,7
1,13,12
0,7,7
2,7,5
6,25,14
4,21,14
0,6,6
0,4,4
1,9,8
2,18,14
1,10,8
4,24,15
1,19,14
3,12,9
4,8,5
0,6,6
3,21,16
5,10,7
2,16,11
5,12,9
0,13,13
4,13,6
0,6,6
4,22,15
2,8,5
4,10,7
0,7,7
1,9,8
2,14,13
0,12,12
6,28,16
1,11,8
1,14,13
3,18,15
1,7,6
2,9,6
0,11,11
0,8,8
1,9,8
1,7,6
1,6,5
0,10,10
1,14,12
2,9,8
0,4,4
0,6,6
0,9,9
0,15,15
3,15,12
