n_d,n_genes,n_species
0,14,14
2,12,9
17,60,16
0,14,14
6,30,9
5,22,16
8,25,15
8,24,16
3,17,14
2,17,15
4,12,9
1,13,13
3,9,7
4,21,16
5,14,9
14,48,16
1,15,14
11,33,15
7,22,15
2,20,16
6,18,10
0,15,15
2,20,15
1,17,9
1,15,14
2,18,16
0,7,7
2,15,13
2,14,9
4,19,15
12,32,16
4,21,16
10,24,12
3,11,9
3,17,10
5,25,16
0,14,14
2,10,7
5,23,15
6,28,15
3,19,16
2,13,11
3,19,15
7,26,15
7,23,9
4,17,10
11,29,15
7,25,15
5,21,12
9,38,16
1,17,16
8,35,14
8,30,16
4,23,15
6,23,14
7,24,12
4,23,9
0,9,9
7,29,15
1,14,13
3,23,9
5,21,16
6,26,15
9,21,13
2,16,14
2,17,9
3,17,15
9,25,11
1,13,12
4,18,13
3,12,9
2,18,16
3,17,12
2,18,16
1,15,11
2,14,12
5,18,14
0,4,4
5,26,16
1,12,8
6,23,15
1,17,16
1,17,9
1,6,5
3,20,16
8,31,15
4,18,14
7,35,16
8,26,16
9,41,16
2,12,10
2,9,7
6,15,7
8,25,9
1,16,15
0,7,7
4,19,15
12,36,15
5,14,11
13,37,16
3,18,15
7,28,16
1,16,12
2,18,15
0,4,4
3,19,14
5,21,15
2,9,7
6,25,13
13,47,16
4,18,15
8,28,13
1,17,15
4,16,12
4,23,15
4,21,15
6,25,14
5,23,15
1,5,4
4,18,14
5,17,9
6,29,16
9,45,16
2,13,9
4,27,15
4,16,12
15,43,15
4,19,10
4,29,15
4,26,16
7,21,14
5,21,16
7,38,16
5,14,7
5,19,15
20,53,16
2,17,15
9,37,15
1,6,5
0,6,6
3,20,15
4,21,12
2,12,9
5,20,15
1,16,15
1,11,10
14,48,16
2,7,5
10,34,13
2,19,15
1,16,15
1,10,9
3,18,14
0,13,13
3,23,15
8,31,14
2,16,13
4,20,16
1,16,16
10,35,9
4,17,14
3,14,11
6,32,15
7,29,16
7,29,15
5,23,16
7,26,11
2,17,15
6,21,15
5,27,16
4,24,15
2,18,16
9,28,12
1,7,6
7,24,15
8,20,15
3,18,15
4,20,16
7,33,9
1,6,5
2,12,10
5,15,6
1,9,8
2,7,5
6,28,13
3,20,14
1,10,9
1,18,16
12,44,16
5,20,15
6,25,15
6,22,14
4,19,10
2,11,9
3,19,16
1,17,16
3,14,11
3,12,10
5,21,15
