n_d,n_genes,n_species
3,14,6
7,19,12
13,35,9
11,23,7
4,9,6
4,17,10
2,8,6
1,8,7
6,14,7
7,20,12
8,16,10
7,23,13
5,20,11
7,23,12
3,10,8
16,35,14
1,5,4
3,9,5
13,35,14
2,7,5
7,17,10
4,13,8
11,20,8
7,21,13
4,10,6
21,51,14
1,7,6
7,21,14
6,16,11
5,17,12
21,46,11
15,38,13
8,25,14
18,40,14
25,57,13
5,11,7
6,21,8
9,21,13
1,11,7
5,13,9
5,16,12
14,37,13
9,20,9
13,27,15
6,20,8
2,11,9
3,8,5
10,25,12
7,15,8
8,15,6
12,36,11
9,18,11
10,26,8
4,13,9
11,21,9
9,23,13
7,14,7
5,15,11
6,16,8
7,28,15
14,44,15
14,30,15
6,21,14
6,15,8
15,42,9
10,17,8
6,17,11
18,24,8
5,11,6
18,27,11
4,10,7
3,10,8
6,21,12
1,5,4
6,11,8
5,14,7
8,19,13
4,9,6
13,22,8
5,16,12
7,12,4
3,9,7
5,19,13
2,7,6
11,33,14
12,23,7
4,14,12
11,19,7
0,4,4
2,9,7
8,27,13
19,45,16
4,9,6
5,9,5
11,19,9
4,8,5
6,14,7
9,29,16
24,61,14
8,30,9
8,15,9
3,8,5
14,30,11
12,29,9
11,53,16
7,21,7
22,48,12
5,7,4
16,46,16
1,12,11
8,20,13
12,35,11
8,12,5
10,22,10
8,21,12
3,12,7
7,25,9
10,21,10
6,22,11
2,11,7
10,37,16
4,8,6
4,11,5
6,13,9
16,42,15
7,15,7
11,27,13
5,12,7
9,17,9
0,7,7
5,25,16
27,68,16
9,19,8
8,17,8
13,32,15
7,12,5
4,16,12
6,22,13
9,15,6
1,5,5
6,13,5
9,23,9
13,27,14
16,39,14
10,25,9
12,26,14
2,7,6
0,6,6
0,6,6
15,36,14
9,17,7
6,16,9
5,28,15
4,14,11
12,32,16
2,13,9
3,8,6
16,36,14
5,17,12
11,25,7
8,19,13
6,10,6
15,26,14
14,31,15
5,13,6
5,15,12
20,33,12
4,14,9
3,7,4
3,6,4
2,9,6
3,9,6
7,18,10
9,21,14
7,23,13
10,30,15
7,23,14
9,20,7
2,11,8
9,30,13
12,35,15
1,7,6
3,10,6
6,17,8
10,22,10
8,13,5
5,14,6
1,6,5
10,28,13
6,12,8
14,30,12
0,8,8
16,28,14
5,14,8
8,18,7
7,26,9
8,28,14
3,14,11
6,18,11
6,20,12
2,6,4
3,17,13
14,45,16
7,18,10
7,21,6
6,13,6
0,4,4
9,17,7
11,28,13
7,18,10
3,16,12
0,11,11
5,11,6
11,21,9
13,29,15
7,15,9
4,10,8
5,11,8
9,20,8
5,10,7
2,7,5
15,33,13
4,13,8
12,21,11
7,19,13
19,38,15
3,8,5
8,16,7
13,30,12
5,13,7
8,18,7
2,9,7
1,8,8
11,34,15
1,10,9
12,28,14
7,16,12
2,12,10
17,33,13
4,14,6
7,15,4
4,9,5
3,7,7
5,11,7
11,32,9
16,43,9
6,14,10
2,13,11
5,14,8
27,38,12
8,21,12
31,53,16
3,10,7
12,30,14
2,15,14
5,13,9
4,8,4
10,32,14
1,6,5
4,16,10
1,7,5
1,4,4
1,7,6
11,24,13
4,11,7
8,30,16
1,5,4
2,7,6
6,13,8
4,14,12
1,10,9
6,12,7
19,46,14
4,11,5
4,11,8
13,27,9
3,14,12
3,11,7
10,23,14
6,15,9
6,18,11
5,9,6
5,20,9
4,16,12
18,44,13
3,10,7
4,16,12
3,9,6
3,6,4
2,9,7
4,7,4
3,9,7
4,11,7
5,10,6
2,11,7
4,10,5
6,14,6
14,34,9
7,16,7
3,7,5
13,33,15
4,17,13
1,13,12
2,14,6
23,34,10
19,34,12
12,21,8
10,24,9
6,12,7
6,17,12
2,6,4
7,24,10
21,43,16
2,6,6
4,23,13
5,12,6
7,24,9
5,8,4
7,14,7
10,34,12
1,5,4
15,28,8
3,7,6
12,21,7
2,6,5
11,25,12
12,28,8
1,6,5
8,26,8
14,38,15
3,9,7
7,16,8
3,16,15
12,22,12
16,27,11
0,8,8
6,13,6
15,37,15
2,8,7
5,11,7
2,12,7
4,12,10
0,8,8
6,19,12
1,6,5
5,16,11
5,10,6
4,16,9
12,26,8
3,14,11
9,16,6
5,21,13
4,14,13
5,15,12
3,12,8
5,8,5
3,14,9
1,7,6
4,15,10
7,24,7
5,9,6
1,8,7
14,19,9
2,6,4
1,5,4
0,5,5
17,40,16
9,15,7
8,20,13
2,11,9
6,14,9
13,29,14
6,24,9
0,4,4
17,40,14
18,45,9
5,12,10
5,13,8
4,10,6
10,18,6
6,14,10
2,9,9
7,25,14
2,14,11
7,20,11
1,11,8
22,47,16
3,10,7
2,10,8
3,14,8
3,18,9
10,26,8
7,21,13
19,47,15
1,11,6
3,7,5
1,6,6
22,38,13
5,11,8
11,34,14
12,27,12
16,31,14
1,6,5
3,17,12
7,20,10
11,29,9
25,63,15
6,16,10
13,41,15
4,9,6
12,34,13
6,19,8
15,43,15
3,9,6
16,31,7
17,32,12
7,17,12
8,23,7
7,18,11
6,12,7
10,25,14
4,13,6
4,9,6
5,22,11
16,40,16
4,13,10
3,11,9
24,50,15
6,19,10
11,17,8
1,6,5
6,14,9
4,10,6
7,20,12
1,7,6
17,27,8
5,13,8
8,16,6
5,13,11
2,10,8
3,9,6
15,28,7
10,21,8
13,32,11
