n_d,n_genes,n_species
3,11,9
20,55,15
17,51,16
5,14,7
20,58,16
8,19,13
6,20,13
3,11,6
10,28,15
4,10,6
14,50,15
5,14,10
6,30,16
1,6,5
9,18,9
9,24,15
3,14,7
1,7,6
3,15,12
10,33,15
16,35,16
10,30,15
10,30,13
11,32,15
5,17,13
12,27,10
10,31,7
2,7,6
2,15,14
16,33,7
21,51,16
4,11,7
11,34,13
4,19,12
19,45,16
2,6,5
19,41,10
3,14,7
9,25,8
2,6,4
8,24,13
7,21,12
13,35,14
18,51,15
12,34,16
4,26,13
4,11,4
0,13,13
12,21,7
9,27,12
3,10,7
11,34,12
9,28,12
2,11,8
24,58,16
10,19,7
2,8,6
9,28,10
4,11,6
3,24,13
4,17,13
15,29,7
14,47,14
13,38,14
10,32,14
7,16,11
8,20,7
3,13,11
2,11,7
10,28,15
1,9,8
8,23,10
16,33,14
6,29,15
10,25,13
5,21,14
15,43,15
4,15,8
16,46,15
15,37,16
8,32,14
6,21,13
11,31,15
6,19,11
7,13,6
6,17,12
2,11,6
8,20,7
6,24,12
0,5,5
5,24,12
6,14,10
26,66,16
1,7,6
2,11,9
8,20,14
2,7,7
2,10,7
0,6,6
12,33,8
10,37,13
16,54,14
8,22,14
15,37,14
1,5,4
8,22,14
12,31,12
5,11,6
10,26,16
2,7,6
9,21,12
7,33,9
0,6,6
7,21,16
8,19,8
4,26,16
0,10,10
1,8,8
20,58,12
2,9,7
6,22,8
20,40,7
3,11,5
8,21,11
1,8,7
2,17,12
10,25,12
5,17,12
8,24,14
9,26,15
15,28,11
6,14,8
5,21,14
16,42,14
6,19,13
10,34,15
3,12,9
6,22,12
11,33,15
4,18,14
21,52,16
7,17,8
9,36,14
8,25,13
2,17,15
13,27,15
9,33,14
3,17,14
8,23,12
14,36,9
3,9,6
3,10,6
1,6,6
1,9,8
12,31,15
8,19,11
1,8,7
11,24,15
6,22,7
13,35,16
16,53,15
21,46,16
1,10,9
2,8,6
2,11,9
9,34,16
5,14,13
3,17,14
4,17,13
9,25,13
4,10,7
11,28,16
9,34,13
14,33,16
5,22,14
0,8,8
0,4,4
22,54,15
6,17,11
4,18,8
6,21,16
8,26,14
10,35,15
4,9,5
3,10,7
4,9,5
11,33,15
5,21,14
25,65,16
5,19,13
3,13,8
0,9,9
3,14,10
15,48,16
12,21,7
4,15,10
4,15,11
3,17,14
14,29,10
8,23,13
10,37,13
14,37,15
5,16,11
7,20,13
10,26,13
4,29,16
3,19,15
9,35,16
3,16,12
6,18,11
10,27,16
2,6,5
16,43,16
12,32,15
7,12,5
3,15,12
8,20,7
4,20,8
8,27,15
10,45,16
12,27,12
2,8,6
4,14,9
7,19,11
2,9,8
3,17,14
9,31,16
8,24,14
3,9,6
7,18,10
7,20,14
3,21,16
3,16,14
1,11,10
3,7,4
8,26,13
13,36,14
9,20,10
1,7,7
16,41,16
10,26,7
10,19,7
6,19,9
8,18,12
0,6,6
3,10,7
6,19,6
8,32,9
3,10,9
6,24,13
3,14,11
0,4,4
3,10,7
2,13,11
4,22,13
1,5,4
3,8,6
9,21,9
8,24,15
8,27,15
0,7,7
10,28,9
1,7,6
7,19,11
16,45,15
11,27,12
6,27,15
2,12,10
13,42,16
9,22,13
4,10,5
2,6,4
1,10,9
35,100,15
18,46,16
9,29,15
3,12,9
11,24,7
14,44,15
4,8,4
5,17,10
10,25,16
8,17,9
20,50,16
4,18,14
6,13,6
5,18,13
12,22,7
11,29,16
0,7,7
5,16,14
10,35,14
3,12,7
16,42,15
5,26,14
6,16,9
4,16,13
1,6,5
12,28,9
4,10,6
3,10,6
4,12,9
10,33,14
6,11,5
1,8,7
6,23,16
1,12,11
8,20,7
3,18,8
12,33,14
14,35,16
5,13,8
5,12,6
14,36,15
6,17,11
1,16,15
27,58,16
11,28,9
11,16,7
0,9,9
14,39,15
10,29,9
5,14,9
12,33,15
5,24,14
4,21,16
2,15,13
4,12,6
6,14,6
11,29,9
3,10,8
2,8,6
8,27,14
4,11,7
8,19,13
12,34,16
16,54,15
0,13,13
16,43,12
10,28,13
5,13,6
41,99,16
3,13,10
12,45,14
2,12,10
12,36,15
13,40,15
1,10,7
7,16,6
7,28,16
4,10,7
14,43,15
3,11,8
1,6,6
3,21,16
5,18,11
6,13,6
10,29,14
8,17,6
6,18,14
4,19,8
10,32,12
11,42,12
1,6,5
7,22,15
3,10,8
9,28,13
10,21,7
2,5,4
8,21,13
2,12,11
13,32,13
6,17,11
4,19,14
6,26,12
1,11,9
2,10,8
5,22,15
2,7,5
1,9,7
6,20,9
4,16,12
7,13,6
14,25,9
14,26,12
2,12,10
6,11,5
7,14,5
4,19,15
19,49,13
7,20,13
4,15,9
12,29,7
0,4,4
11,26,9
27,76,16
1,5,4
14,30,15
8,26,13
2,6,4
5,26,15
5,17,13
4,16,13
13,30,11
1,10,9
10,30,14
5,20,9
4,19,14
7,19,11
3,19,16
11,28,14
13,32,7
6,19,14
1,16,12
5,12,7
8,28,7
2,8,6
6,18,11
5,13,8
1,5,4
9,30,15
5,18,9
16,30,14
3,20,12
4,19,15
10,25,11
8,17,7
2,14,7
5,14,9
9,22,10
3,18,8
2,8,6
1,8,7
3,9,6
2,13,8
3,16,12
2,15,9
5,23,14
4,15,11
1,7,6
4,13,8
5,22,13
3,18,9
11,24,14
24,56,15
6,20,14
1,21,14
7,15,8
6,20,9
6,22,15
4,12,8
3,17,14
5,27,15
11,38,15
9,23,14
4,16,7
3,11,7
11,41,11
5,9,4
0,7,7
6,17,5
5,19,14
11,29,15
5,21,14
2,6,5
8,23,14
1,10,7
10,32,15
0,4,4
6,18,8
3,17,14
15,38,14
7,27,14
5,21,12
0,4,4
2,15,9
3,16,13
9,34,16
5,12,7
5,20,13
10,30,12
11,33,13
1,16,15
4,18,14
5,16,11
12,36,14
12,22,6
16,42,16
0,7,7
2,8,7
2,13,11
4,26,16
8,24,10
20,43,16
7,17,11
9,26,12
7,30,14
6,26,15
9,29,15
13,58,15
12,39,16
9,24,15
7,22,13
4,17,10
9,30,13
1,6,5
5,14,6
1,10,9
3,19,12
4,8,4
9,20,11
2,15,13
0,7,7
3,7,4
10,26,13
11,30,15
5,18,12
5,12,9
9,19,7
1,7,6
6,19,13
7,20,15
4,13,10
9,33,16
9,38,12
4,18,14
5,16,10
4,13,9
0,6,6
13,35,14
2,9,7
1,8,7
6,15,9
5,16,9
5,24,16
17,47,16
3,16,13
4,9,6
15,44,16
10,31,14
8,21,13
4,10,6
8,20,13
1,12,11
13,31,16
6,19,10
2,8,8
20,47,16
7,17,6
1,14,13
0,8,8
6,13,8
7,19,12
1,12,11
7,21,14
17,38,16
0,15,15
18,52,16
15,38,15
2,8,6
2,21,14
8,20,7
19,38,7
6,20,14
5,16,10
10,30,13
6,18,9
9,25,12
2,14,8
11,25,14
9,27,14
8,23,15
18,53,16
8,17,6
9,32,16
16,32,15
15,39,13
5,19,11
4,15,12
2,7,5
4,20,15
9,27,14
9,26,14
2,11,8
5,22,9
3,10,7
8,28,16
2,13,11
9,27,7
3,15,12
15,36,15
2,8,6
3,17,14
3,18,15
12,36,16
8,24,15
11,19,8
17,43,15
9,26,7
22,49,13
1,7,6
16,43,15
6,22,14
11,33,16
3,12,9
3,8,5
9,32,13
4,19,15
3,18,14
13,37,15
10,23,14
11,19,10
2,12,7
5,23,15
7,29,13
13,45,14
8,36,13
3,17,13
12,35,14
4,9,5
13,38,14
4,15,12
20,47,15
7,20,12
4,24,15
16,39,16
20,41,11
19,47,16
2,10,7
8,29,16
7,28,15
3,9,6
13,34,15
5,19,14
7,27,14
21,65,16
10,23,7
10,40,16
20,52,14
1,14,8
2,7,5
6,19,13
1,9,8
4,12,6
11,32,15
9,25,14
2,11,7
5,16,12
5,8,4
7,24,15
21,62,16
3,12,8
2,10,7
5,19,7
17,43,16
2,7,5
7,29,16
6,18,13
5,23,13
17,36,14
11,28,9
7,22,15
2,8,6
2,10,6
9,22,12
10,18,9
6,28,14
6,12,6
8,20,11
12,34,14
5,20,16
5,16,11
7,18,13
2,11,9
1,10,9
18,44,16
6,18,14
4,18,15
1,9,8
8,28,16
9,26,14
2,10,8
2,10,8
17,36,15
7,26,14
4,14,6
4,12,8
1,10,9
16,44,15
6,20,9
13,35,15
5,27,12
0,5,5
1,9,8
8,22,14
5,15,10
20,56,16
9,18,11
1,9,8
19,52,16
4,14,9
8,24,10
1,6,5
2,13,9
2,9,7
3,18,10
7,16,6
6,18,14
14,42,12
9,34,16
2,9,6
7,21,15
2,6,4
10,29,15
11,33,15
3,18,14
30,86,16
6,17,10
2,10,9
0,9,9
6,18,12
19,45,16
10,38,16
3,9,7
2,6,4
10,37,16
12,37,16
2,17,14
3,11,8
2,14,12
7,26,12
15,51,13
6,24,9
7,21,14
5,14,9
12,38,14
22,68,16
11,27,9
4,14,7
2,5,5
2,14,12
11,21,12
