n_d,n_genes,n_species
1,7,6
17,32,7
13,33,15
8,19,9
14,32,15
21,50,16
3,14,7
3,9,7
19,49,16
11,27,14
6,10,4
6,21,13
15,41,16
13,39,15
6,21,9
9,33,15
3,17,14
10,35,14
11,36,16
5,20,13
4,11,7
7,17,10
15,37,15
11,29,16
12,21,8
25,68,16
2,15,13
6,18,12
9,18,9
12,31,15
10,19,8
9,26,9
6,18,12
6,20,15
8,19,7
9,19,10
8,19,11
8,23,15
1,8,7
5,14,9
7,23,14
14,33,14
8,17,10
0,6,6
1,5,4
2,12,7
12,32,13
5,10,5
22,47,15
27,56,14
2,7,4
5,10,6
17,36,15
8,20,12
11,33,14
14,33,14
15,41,16
2,8,7
9,17,6
14,35,7
7,22,13
14,27,10
12,38,13
17,54,9
14,34,14
13,35,16
22,56,16
3,13,10
9,19,12
6,20,12
13,38,9
1,8,8
12,37,14
10,30,15
12,25,13
20,39,14
11,29,9
7,23,12
3,9,6
1,7,7
5,17,9
7,22,12
8,25,13
8,17,10
5,10,5
11,34,16
12,26,9
18,52,16
10,15,5
14,36,15
21,43,16
9,20,9
8,17,10
24,58,16
7,25,13
10,20,12
10,22,13
11,31,16
22,50,13
11,29,16
13,28,9
14,41,16
17,53,16
5,12,8
5,13,6
4,11,7
25,45,16
3,16,14
5,11,7
23,66,9
4,13,7
13,34,14
5,23,13
7,18,13
12,20,8
10,25,15
9,20,9
7,27,15
5,19,14
10,21,9
15,33,14
11,33,15
7,27,15
19,38,15
16,35,16
13,37,16
19,62,16
5,15,12
10,27,13
9,23,13
6,19,14
11,25,14
8,27,14
18,50,14
4,14,8
11,28,15
12,29,15
0,8,8
7,22,13
17,35,14
13,30,15
20,46,16
0,7,7
6,17,9
3,22,14
4,14,11
6,22,13
12,34,14
29,57,14
9,23,11
18,50,13
3,11,9
14,30,7
16,31,14
19,40,14
23,45,16
14,55,15
27,49,15
12,25,7
16,34,15
10,29,14
4,12,7
25,55,16
23,49,16
17,38,15
6,25,9
15,42,9
0,11,11
12,28,15
14,26,7
6,17,7
11,32,15
12,19,7
5,14,8
39,88,16
2,12,10
15,39,15
31,68,16
13,24,7
21,56,16
24,39,15
12,28,16
1,5,4
5,20,16
3,18,15
1,7,6
5,12,5
19,45,13
17,39,16
3,17,14
2,10,8
7,24,16
5,11,7
13,31,9
7,21,13
9,26,16
4,13,7
7,16,9
7,19,13
5,22,14
9,27,11
9,28,11
3,20,13
7,18,6
7,32,16
19,38,16
3,8,5
17,37,15
18,39,15
3,15,12
11,25,13
3,12,9
10,20,8
13,31,10
15,27,7
5,15,8
10,31,15
8,13,5
1,8,7
9,38,9
5,18,9
8,24,15
6,17,9
11,28,14
11,19,5
13,31,14
13,46,14
5,17,12
8,30,16
8,19,7
21,56,14
10,37,16
3,7,4
7,22,8
14,43,16
8,26,14
26,66,16
6,20,14
6,21,11
12,36,16
12,32,16
10,21,7
22,66,16
13,37,13
9,22,14
1,15,14
16,30,14
10,32,12
11,20,7
6,24,16
3,12,7
12,27,9
17,38,16
1,4,4
7,20,13
13,31,10
3,8,5
15,38,15
4,13,12
12,35,9
4,14,13
11,28,14
9,19,13
15,43,16
24,67,9
12,34,15
9,24,15
7,21,8
13,28,10
12,34,15
4,16,10
3,17,14
35,75,16
11,23,8
11,29,9
32,71,16
13,36,14
3,9,6
8,26,13
7,21,14
15,40,14
9,27,15
0,9,9
4,17,14
13,38,14
3,10,9
12,30,16
11,29,14
10,25,9
11,36,9
3,11,7
10,23,8
14,31,9
18,49,16
0,5,5
11,17,7
12,33,16
15,35,12
12,19,8
1,13,12
8,20,13
3,11,8
9,29,12
22,52,15
4,13,8
10,30,9
3,14,9
11,28,11
3,14,8
8,22,12
14,32,9
5,19,15
11,26,12
15,36,14
10,35,16
13,34,15
3,10,8
16,53,16
2,11,9
7,26,14
14,39,16
2,9,8
4,17,14
7,23,14
6,19,7
7,28,15
4,12,9
6,19,12
8,22,15
9,16,8
6,11,6
11,27,7
5,12,7
14,39,15
11,23,9
6,21,16
10,29,16
12,28,14
9,28,16
16,46,16
29,59,16
14,31,8
20,53,16
2,9,8
9,16,11
16,35,9
4,19,12
4,12,7
7,28,9
27,52,16
8,29,16
5,17,12
9,23,12
9,24,14
19,38,15
12,31,16
14,35,15
16,45,15
2,12,11
2,6,4
7,24,11
11,31,9
2,9,7
10,26,16
7,24,16
1,6,5
5,19,14
4,9,5
18,42,16
9,25,12
8,29,15
16,34,7
12,27,9
13,38,15
1,7,6
10,17,7
1,7,6
6,14,8
12,36,13
15,30,11
7,26,14
4,9,6
14,36,15
5,11,6
28,70,16
4,15,11
5,19,15
0,4,4
6,14,8
19,32,12
0,5,5
15,34,13
12,29,15
9,28,14
13,33,16
22,54,16
9,26,15
7,24,16
17,39,14
9,29,16
9,34,16
2,11,9
10,22,7
3,19,15
2,4,4
17,41,14
13,24,10
1,8,7
8,23,16
8,15,6
8,25,13
11,26,16
5,12,6
13,37,15
6,19,14
8,13,5
0,6,6
21,46,14
1,8,7
13,41,16
4,9,5
13,42,16
13,37,15
7,17,12
12,33,14
3,10,8
11,32,14
3,15,12
10,26,12
4,12,6
7,16,8
21,50,13
2,6,5
8,18,6
5,9,4
5,9,5
13,36,15
5,12,7
9,26,14
2,8,6
2,9,8
12,25,9
6,18,12
8,31,16
32,76,16
10,28,13
10,19,7
9,22,12
14,33,13
4,16,12
4,8,4
17,36,16
7,26,16
15,31,15
1,8,8
7,22,15
12,20,7
8,19,9
3,11,8
19,44,15
14,36,16
23,44,11
7,16,7
9,30,14
4,8,5
4,18,15
6,14,7
14,30,16
11,35,14
3,11,8
12,23,10
23,49,16
3,11,8
13,39,16
23,50,16
17,47,16
5,14,9
4,11,8
15,36,15
15,32,16
10,25,16
19,59,16
8,25,16
33,75,16
8,22,11
4,16,12
11,36,15
19,38,7
8,24,13
8,21,13
4,15,12
9,23,15
24,45,9
39,81,16
29,73,15
0,8,8
4,13,9
3,8,6
5,20,12
6,14,7
5,14,10
24,50,15
8,26,11
8,19,10
12,36,16
11,29,15
7,14,7
13,25,11
16,41,16
9,22,16
1,9,9
9,28,16
28,73,15
3,9,7
7,21,13
6,15,11
34,85,16
5,19,14
4,13,10
4,11,8
20,56,16
17,49,16
3,11,8
18,41,15
5,18,13
17,48,16
0,6,6
4,16,12
6,24,15
17,46,16
6,14,8
4,8,5
11,35,15
12,24,9
1,7,5
8,19,7
22,48,16
3,9,6
14,34,15
27,56,14
11,26,9
20,42,13
4,13,8
17,37,9
7,16,7
9,18,6
16,34,14
11,32,14
2,15,13
3,15,12
10,33,9
14,30,14
1,12,11
13,32,15
11,30,15
5,15,9
6,21,14
4,13,10
18,48,15
9,19,8
12,35,16
9,30,9
6,14,11
3,14,7
5,16,12
7,21,13
5,11,6
3,13,7
5,13,7
18,47,15
4,15,8
10,24,11
11,32,15
10,21,12
12,32,15
1,8,7
3,10,6
8,24,14
29,75,9
7,18,11
5,10,4
4,17,14
5,12,7
6,21,12
3,9,6
4,15,12
9,40,15
19,43,15
11,22,7
11,24,11
22,45,16
26,61,15
13,33,15
8,29,9
8,23,14
2,13,11
3,9,6
11,33,9
5,11,6
2,15,14
9,23,11
15,32,9
2,8,6
8,18,12
0,9,9
1,11,9
3,13,12
9,24,9
8,26,13
2,8,8
10,26,16
12,27,15
3,18,14
8,23,16
18,48,16
5,10,5
7,21,9
9,27,14
10,21,10
6,22,15
18,45,15
5,25,15
12,24,7
3,14,11
2,9,7
11,31,14
6,24,14
7,15,6
12,25,11
4,17,13
1,10,6
2,9,7
13,43,15
12,42,15
9,21,8
14,25,11
13,34,13
4,17,14
2,10,8
1,15,14
1,8,6
15,30,15
3,8,5
3,10,6
9,21,13
7,16,9
3,10,7
6,15,9
5,17,14
3,9,7
5,17,12
13,25,13
5,20,9
4,13,6
5,14,8
1,5,4
13,31,15
21,46,14
2,7,5
7,23,13
4,9,6
8,25,16
11,38,16
9,29,15
13,42,15
6,20,15
6,17,10
8,28,16
28,55,7
19,44,12
1,6,5
18,44,15
24,45,16
14,44,16
12,40,16
14,31,7
1,10,9
2,17,15
5,10,7
9,22,7
9,19,11
13,32,9
5,11,7
5,12,7
8,21,14
9,24,13
4,14,9
26,58,16
2,11,8
11,22,9
5,16,9
22,47,13
6,23,14
15,41,13
0,4,4
12,43,16
5,14,11
7,25,13
7,22,9
8,25,15
3,9,7
20,45,16
4,7,4
11,35,15
1,8,7
3,9,6
5,12,6
10,25,13
8,16,6
10,30,16
3,12,7
9,26,14
22,45,16
3,14,11
6,20,12
9,27,12
19,40,12
1,7,6
7,24,15
5,22,9
8,25,15
4,24,14
