n_d,n_genes,n_species
3,16,12
6,13,9
1,6,5
4,11,8
0,11,11
2,11,6
6,25,11
7,25,15
1,9,9
4,14,11
2,14,12
3,12,9
1,6,5
0,6,6
1,8,8
6,14,8
2,10,7
1,5,4
3,9,5
3,13,11
3,12,9
0,10,10
2,9,6
0,7,7
2,8,5
1,10,9
4,12,8
2,19,13
1,17,12
4,19,12
1,6,5
8,20,9
1,5,4
4,16,12
2,11,9
1,4,4
3,9,6
4,19,14
4,10,6
0,6,6
0,4,4
5,18,13
3,8,4
5,20,14
3,13,10
1,6,5
0,4,4
0,12,12
1,11,10
2,9,7
2,11,6
2,12,9
1,9,9
0,5,5
6,21,13
4,14,11
2,10,6
2,7,6
9,19,10
0,5,5
4,11,9
1,14,13
6,14,6
3,8,5
1,9,8
3,13,11
4,12,8
4,12,7
0,5,5
5,19,12
3,16,10
5,12,9
7,26,16
1,6,5
3,14,11
5,13,8
2,8,7
4,13,11
0,5,5
2,7,4
2,10,8
3,13,12
3,11,6
1,12,7
1,5,5
0,9,9
5,11,7
2,12,11
2,12,11
2,8,6
1,9,9
0,5,5
5,16,11
1,13,12
3,11,8
3,13,8
2,10,8
4,11,8
2,11,6
3,9,6
5,25,14
2,12,11
1,7,6
3,12,10
0,6,6
2,16,11
11,28,13
2,10,9
3,13,7
7,22,9
3,17,11
1,9,8
1,8,7
3,7,4
1,10,8
3,15,10
1,4,4
1,6,6
3,8,5
5,20,14
5,16,9
3,15,12
2,7,6
1,5,4
3,10,7
4,14,8
1,5,5
0,11,11
2,7,5
1,7,6
0,4,4
1,9,8
1,5,4
1,15,14
7,12,5
1,9,6
4,16,12
9,27,13
5,13,8
3,13,11
10,36,15
4,11,8
2,11,7
3,9,8
3,7,4
5,28,14
6,13,7
1,6,5
0,13,13
2,11,11
1,8,7
3,7,5
1,5,4
2,16,15
0,6,6
1,16,13
1,7,7
4,11,6
3,6,4
1,8,7
1,7,6
5,12,8
2,6,5
7,22,13
1,12,11
4,22,13
2,15,13
5,15,12
0,6,6
0,4,4
1,7,7
2,10,9
5,11,7
3,9,6
0,4,4
4,20,12
2,8,5
4,11,7
2,8,6
0,5,5
1,6,5
1,8,7
4,10,8
1,7,7
1,12,11
7,24,13
4,18,9
2,11,10
3,9,5
0,6,6
3,13,8
2,4,4
1,6,6
5,16,7
1,6,5
7,21,14
2,14,11
2,11,9
6,22,9
2,10,9
7,14,7
0,5,5
1,5,5
6,24,14
3,14,13
1,7,6
1,10,7
3,10,7
2,8,5
1,8,7
2,9,7
1,15,14
1,5,5
4,12,8
0,7,7
5,21,12
3,15,10
2,13,11
1,9,8
7,28,16
3,12,9
1,17,13
0,8,8
4,11,8
7,20,8
2,5,4
1,7,6
1,11,10
3,12,8
5,14,10
2,12,10
3,18,13
1,9,8
1,6,5
1,7,6
2,15,11
6,18,13
1,8,7
5,13,9
4,15,8
1,5,4
0,5,5
4,8,4
3,14,10
2,10,8
2,6,4
2,7,5
2,5,5
6,15,9
7,21,14
0,12,12
0,5,5
1,6,5
2,12,10
2,14,12
0,5,5
4,19,12
3,8,6
3,9,7
5,16,8
0,7,7
4,22,14
3,8,6
0,6,6
0,6,6
7,18,6
4,16,11
0,4,4
4,17,12
4,16,12
0,8,8
0,12,12
5,17,14
3,13,11
4,16,9
0,4,4
7,22,14
5,22,14
2,6,5
7,20,13
0,5,5
2,9,6
4,12,5
2,7,5
2,11,9
0,5,5
7,23,12
1,11,10
5,12,7
3,14,12
3,8,4
0,8,8
2,13,7
8,18,12
2,13,11
2,10,8
7,17,13
1,8,7
2,13,11
1,16,14
4,21,11
6,19,13
2,8,7
0,5,5
5,14,10
4,9,6
1,6,6
2,6,4
1,8,8
6,23,9
5,17,13
3,13,10
1,6,5
2,8,6
1,13,12
7,14,5
1,9,8
6,15,10
1,10,10
3,9,5
5,13,6
4,15,8
0,8,8
2,12,10
1,8,7
11,35,14
3,13,8
2,12,7
2,6,5
0,7,7
2,8,7
0,4,4
0,9,9
2,6,4
2,9,8
1,5,5
2,11,9
3,13,11
2,13,12
4,18,13
2,9,8
3,12,9
2,8,6
3,9,6
3,12,7
1,9,8
6,16,10
3,9,6
0,10,10
1,7,6
7,25,15
0,5,5
2,10,8
1,8,8
2,9,7
2,11,10
4,17,12
7,13,7
0,7,7
5,17,13
2,13,13
4,16,9
2,11,9
2,15,14
7,23,13
8,18,7
3,9,8
0,4,4
3,14,12
3,17,12
2,8,7
0,11,11
2,7,5
2,14,12
5,10,7
2,6,5
0,5,5
3,9,8
3,9,6
2,8,6
3,13,10
7,21,12
5,14,11
2,8,6
2,11,9
3,11,8
0,4,4
1,7,6
2,7,5
6,20,14
3,14,12
5,12,8
3,11,9
4,19,12
1,5,4
3,12,9
2,8,5
3,11,9
3,5,5
1,4,4
2,7,5
2,8,6
4,21,9
4,17,7
0,5,5
7,20,14
8,24,9
1,8,6
7,24,11
4,12,8
5,19,7
8,23,14
4,14,7
2,11,9
2,6,5
6,15,8
2,12,10
0,4,4
1,12,11
5,20,11
2,9,7
2,12,9
3,7,5
0,8,8
1,7,6
0,9,9
1,6,5
3,16,11
2,15,13
0,4,4
6,15,10
3,10,8
2,14,10
2,11,11
4,8,4
1,6,6
0,4,4
4,21,14
6,14,7
3,11,8
2,11,7
0,6,6
3,8,6
4,13,6
1,8,7
3,15,13
2,8,7
1,5,4
1,9,8
0,5,5
2,6,5
4,18,14
1,7,6
2,10,9
2,10,9
4,10,6
0,5,5
0,4,4
3,8,7
7,20,13
4,15,11
1,7,7
6,17,12
1,8,7
3,12,7
7,15,9
2,5,4
5,14,10
3,17,8
3,17,14
2,13,11
1,9,5
11,24,13
1,5,4
1,5,5
2,8,6
4,9,5
2,11,9
9,24,9
9,19,8
4,19,13
8,17,8
4,16,10
1,7,6
7,18,13
0,9,9
4,11,6
4,14,7
1,15,14
6,18,9
2,11,9
6,24,13
2,12,10
1,5,4
2,12,11
2,11,9
6,18,9
1,6,4
5,16,9
0,5,5
2,16,13
4,17,13
2,5,4
2,8,7
2,9,7
2,9,5
6,19,12
5,20,15
1,6,5
3,19,14
3,9,6
2,8,7
2,9,7
3,7,5
3,11,10
5,18,12
1,5,4
6,17,7
1,11,11
2,14,10
2,8,5
0,4,4
0,6,6
1,8,8
5,12,7
3,14,12
3,14,9
1,8,7
3,13,8
7,18,13
1,8,6
1,8,7
3,15,11
6,18,11
3,9,6
5,8,4
2,12,10
5,17,13
1,8,7
2,12,6
5,8,5
8,17,11
3,15,10
1,6,5
4,15,12
0,6,6
0,4,4
6,16,11
0,5,5
2,13,11
0,6,6
6,26,13
3,13,8
9,26,14
3,6,4
1,9,8
1,7,5
3,13,11
4,12,9
3,8,5
1,8,7
3,7,5
13,34,15
0,8,8
1,9,8
8,23,12
3,11,8
3,13,9
2,14,13
2,16,9
3,9,8
3,8,5
4,14,10
1,9,9
0,5,5
3,11,7
4,12,8
2,12,12
2,12,11
11,23,9
1,6,6
0,5,5
6,19,13
1,9,8
1,5,5
1,15,14
3,16,10
1,8,7
4,13,11
4,16,8
4,12,6
0,4,4
5,22,13
1,5,5
5,13,9
2,11,6
4,10,6
2,11,10
3,11,9
6,12,8
1,7,6
5,18,13
0,10,10
11,21,7
4,17,11
1,9,7
1,5,4
6,18,11
2,11,7
2,13,9
1,10,9
1,5,5
1,5,5
5,13,5
7,20,11
0,5,5
0,8,8
4,11,9
0,7,7
5,13,10
4,10,7
2,12,10
3,13,10
0,4,4
3,11,7
2,5,5
3,14,12
1,14,14
3,14,12
4,10,9
2,9,7
2,11,7
4,9,6
5,20,11
3,15,13
3,11,8
3,10,7
3,9,7
5,15,11
1,8,8
5,16,11
1,11,10
0,7,7
3,13,8
5,15,13
7,23,8
4,8,6
4,14,11
4,14,7
5,25,14
6,14,8
4,14,11
3,13,11
0,8,8
6,23,15
1,6,6
0,4,4
5,12,7
1,8,7
2,11,10
1,9,7
2,12,10
0,9,9
1,12,11
0,5,5
0,7,7
0,6,6
2,10,9
3,14,12
1,7,6
2,12,10
0,9,9
3,11,9
0,6,6
4,12,10
3,19,14
2,14,13
2,15,9
2,13,12
6,17,10
2,9,7
3,12,9
1,6,5
2,6,6
7,19,11
5,16,11
3,8,5
4,14,10
5,12,7
3,18,12
1,13,12
2,18,13
2,7,6
2,7,5
6,28,12
1,9,8
5,13,9
1,10,10
6,20,9
1,6,5
2,8,6
1,13,10
5,24,13
2,5,4
3,7,6
5,8,6
2,11,8
5,16,9
1,6,5
0,5,5
6,23,14
6,21,11
1,13,9
1,9,8
3,8,6
2,8,7
2,10,8
6,13,7
8,32,14
9,31,12
1,8,7
2,5,5
3,10,8
2,10,8
0,6,6
7,24,15
6,21,11
2,7,5
5,14,10
2,10,8
0,6,6
4,11,6
2,8,7
3,16,14
4,8,6
4,18,15
1,7,7
2,7,6
7,20,11
2,15,10
3,14,12
1,9,9
4,10,7
2,16,13
1,8,8
7,26,14
5,12,8
13,41,15
2,9,8
4,20,13
3,8,6
1,10,9
2,7,5
1,9,6
0,6,6
1,13,12
1,6,5
0,11,11
1,13,8
11,24,12
4,19,12
1,5,4
1,10,9
3,15,10
1,6,5
0,6,6
4,7,4
3,11,6
1,10,9
4,11,8
2,10,8
5,14,9
0,12,12
5,7,6
1,11,10
10,20,10
5,19,12
4,14,11
1,9,8
1,11,10
4,15,11
0,6,6
6,15,8
2,7,6
2,9,8
4,8,6
8,14,7
0,5,5
2,8,7
4,11,7
0,5,5
2,8,6
1,17,15
1,17,13
1,7,6
1,7,7
3,13,10
9,22,13
0,10,10
5,13,6
6,16,8
9,26,14
6,14,6
3,9,6
1,4,4
1,8,8
3,16,13
4,13,9
6,21,14
0,5,5
2,14,12
0,5,5
3,15,13
5,13,9
2,14,12
3,10,8
3,15,13
7,18,12
3,8,6
6,12,7
2,7,5
3,9,6
4,9,6
2,12,11
8,26,12
0,5,5
2,7,5
