n_d,n_genes,n_species
6,15,9
2,7,6
2,16,9
13,28,14
2,12,7
5,14,9
2,8,6
0,5,5
3,10,6
6,14,9
2,10,8
0,6,6
12,28,10
3,7,6
5,8,4
18,40,14
4,11,8
11,29,15
7,19,10
2,12,11
10,22,9
3,11,5
1,5,5
3,5,4
8,18,10
5,15,7
1,6,5
11,28,15
11,25,12
2,6,6
8,19,12
5,13,10
20,46,15
2,7,5
9,16,8
7,11,4
9,23,11
0,4,4
3,12,8
12,27,14
6,18,10
0,4,4
6,10,6
7,20,7
3,17,9
18,32,10
2,14,9
0,6,6
6,15,10
29,54,16
1,5,4
12,29,15
6,18,13
5,19,11
4,16,6
2,6,5
3,11,8
0,5,5
2,7,5
10,23,10
13,20,5
1,10,9
5,14,9
5,13,9
6,17,9
12,24,13
1,10,9
11,35,14
1,7,6
8,23,10
9,12,8
9,24,13
7,22,9
4,16,13
4,17,10
6,15,8
6,11,7
14,36,15
3,10,7
6,17,12
9,20,11
0,4,4
1,9,5
4,16,9
2,12,10
3,18,12
2,6,5
12,23,13
11,30,14
5,8,4
1,5,5
9,24,11
4,13,10
3,19,8
2,10,7
1,10,9
12,24,14
0,6,6
5,9,4
7,14,6
6,17,9
8,11,6
9,22,14
4,9,7
10,28,11
4,11,5
3,11,9
3,6,4
5,8,4
4,8,5
3,14,11
6,18,13
4,14,8
0,8,8
11,21,11
5,12,7
2,10,10
4,11,7
10,28,14
8,16,6
10,24,10
8,16,8
6,12,5
0,4,4
19,44,15
4,10,5
3,6,4
10,18,5
7,14,7
10,20,10
3,10,9
12,32,14
7,18,9
3,7,4
0,4,4
3,17,8
18,36,7
15,38,12
3,8,6
4,9,6
1,10,9
1,8,7
3,8,5
6,13,6
1,6,5
1,6,5
4,12,6
4,8,6
0,6,6
2,5,5
9,29,14
1,9,8
7,11,5
3,16,13
1,6,5
2,5,4
7,21,12
11,19,7
3,9,7
4,12,8
11,27,12
2,6,4
14,23,7
10,29,11
7,30,9
6,20,7
10,23,12
2,5,4
13,28,13
5,13,8
7,16,10
1,7,6
9,14,6
