n_d,n_genes,n_species
24,59,16
9,26,13
9,21,11
5,21,13
7,26,9
1,8,7
5,17,10
2,10,8
10,37,15
3,12,6
10,24,7
3,8,5
12,31,15
2,9,7
9,28,12
47,96,16
3,17,7
16,39,14
4,17,7
14,45,14
10,20,9
6,22,11
6,11,4
9,26,16
23,46,7
2,11,9
4,14,9
12,34,16
25,59,16
4,18,14
14,49,16
9,25,15
8,21,13
19,45,15
4,18,14
4,13,11
7,18,7
2,11,9
25,50,10
13,31,15
12,37,13
4,20,10
61,113,16
19,51,16
23,64,16
16,53,16
9,25,13
8,27,9
5,23,14
25,69,16
5,18,7
15,36,16
11,31,16
16,36,7
5,19,9
4,19,14
6,15,6
30,68,16
15,33,11
2,10,9
15,32,14
10,24,7
12,45,16
6,21,15
20,44,15
5,10,6
15,28,7
17,35,16
20,47,16
12,42,16
18,49,16
22,51,16
10,30,16
20,56,16
4,16,9
6,16,8
22,45,16
2,14,8
7,18,9
13,38,14
4,21,14
33,55,16
9,25,7
11,36,15
34,77,16
2,8,6
6,14,6
14,37,16
12,30,14
19,50,16
14,38,16
8,28,15
29,60,16
26,71,16
7,24,12
18,42,15
13,48,15
1,8,7
16,42,16
19,42,15
8,33,16
13,29,13
3,12,9
38,107,16
3,14,11
3,13,11
13,28,16
3,6,4
16,43,15
4,18,14
13,42,15
4,16,10
11,20,7
8,18,8
1,12,8
11,31,15
3,17,11
19,51,16
2,12,10
12,40,16
6,17,10
8,25,8
8,33,16
8,22,10
10,27,13
0,13,13
11,28,15
1,13,9
6,20,13
9,23,14
8,29,9
6,18,12
14,49,15
18,34,13
24,47,13
4,19,15
11,33,13
11,31,15
11,24,11
6,22,14
13,39,16
9,29,15
27,57,14
3,14,11
20,44,14
3,7,4
12,36,16
8,26,16
15,35,14
4,19,14
2,9,7
26,76,13
20,50,15
1,10,9
5,13,8
9,17,9
1,10,9
15,31,9
10,27,16
2,7,5
6,20,15
17,51,16
7,23,16
24,61,16
4,13,8
14,42,15
12,34,14
6,28,12
27,61,15
24,54,15
1,10,9
12,25,13
9,24,13
13,33,15
1,9,8
7,19,13
7,23,16
9,24,10
1,9,8
3,12,9
2,10,7
3,11,8
29,62,16
4,20,15
32,62,10
26,68,7
3,19,9
11,37,16
13,31,15
5,21,15
4,13,9
4,22,15
3,10,7
15,36,13
3,10,8
16,33,9
4,12,7
15,47,16
33,79,16
8,23,15
10,27,13
26,66,16
5,19,12
3,21,15
4,17,13
13,26,11
19,42,15
5,10,5
9,25,16
23,51,16
15,36,13
8,23,16
20,56,14
13,34,16
11,33,9
32,99,15
9,32,13
22,49,16
2,10,7
18,53,16
8,23,15
1,6,5
40,89,16
20,49,16
10,27,14
8,27,16
9,21,14
19,60,16
6,23,16
17,45,16
14,31,7
20,69,13
1,8,7
14,26,11
23,43,7
21,43,12
18,42,15
6,21,9
8,22,14
28,49,12
14,44,14
4,13,8
1,7,6
3,15,12
2,17,14
4,14,6
4,10,6
6,20,14
6,26,16
17,44,15
27,75,14
16,46,14
8,20,7
10,25,14
15,40,16
10,29,16
3,15,12
19,56,16
21,42,7
21,66,15
10,24,8
4,21,15
13,35,15
9,19,9
1,6,5
18,38,14
31,52,7
18,43,16
3,7,5
2,19,14
5,19,15
24,62,16
16,33,13
15,34,14
21,48,16
1,11,10
9,35,15
19,54,15
9,27,16
8,23,15
0,9,9
15,48,16
7,23,12
7,21,13
39,84,16
21,45,16
21,59,9
9,25,15
12,35,15
6,16,11
10,34,16
21,62,16
7,25,16
8,32,9
7,21,9
14,26,7
7,24,14
11,29,9
7,22,15
28,63,16
2,21,16
6,20,15
11,21,10
10,29,16
37,76,14
4,13,9
30,76,15
15,37,15
5,12,7
14,40,16
2,13,11
15,37,16
39,99,16
5,17,12
4,10,6
17,33,7
8,24,13
11,31,15
19,53,16
8,22,8
2,11,9
10,33,15
13,28,15
4,10,6
15,38,15
8,26,14
10,34,14
6,21,9
21,39,7
6,19,15
2,9,7
9,41,16
5,19,15
16,36,9
10,24,14
7,23,14
9,32,9
10,29,16
3,19,16
18,47,15
25,62,15
2,9,7
3,8,5
5,13,7
7,23,15
21,49,15
5,26,13
4,19,15
11,37,11
10,28,14
15,31,9
3,17,13
4,19,11
8,24,9
15,30,15
2,11,9
24,58,16
8,26,15
1,7,6
4,12,6
14,53,16
3,11,9
14,40,16
6,13,8
12,34,14
18,35,15
12,44,15
7,12,7
11,26,14
12,27,12
12,30,15
4,18,15
18,51,9
13,28,15
11,21,9
16,38,12
25,47,7
2,10,8
4,22,14
4,23,16
8,19,11
11,22,12
9,26,13
15,42,16
9,39,16
15,42,16
16,38,12
10,23,10
27,61,14
1,13,13
3,15,7
9,29,16
10,27,13
9,21,10
21,43,11
5,24,14
18,37,14
7,24,16
11,20,10
9,29,15
10,25,15
15,37,11
16,39,15
23,46,16
2,6,4
9,33,15
16,35,12
12,40,9
15,40,13
3,13,10
13,29,10
9,20,9
34,68,16
2,13,8
13,28,11
12,30,16
20,45,12
9,27,7
5,15,7
21,56,16
9,28,16
2,12,11
25,59,16
7,25,16
5,14,9
8,25,15
22,54,14
9,33,16
16,54,16
9,27,10
15,46,15
13,29,14
3,17,15
15,40,16
5,19,11
12,33,15
12,40,15
4,19,14
17,35,16
15,45,16
5,20,12
33,81,16
8,23,15
16,50,14
6,20,14
9,27,13
7,18,7
11,24,6
5,19,15
24,55,16
7,21,14
17,35,15
16,45,16
15,42,16
3,11,7
1,4,4
43,86,16
10,17,5
2,13,12
9,15,5
20,58,16
3,13,10
14,44,16
13,35,15
