n_d,n_genes,n_species
7,29,14
5,11,6
8,24,9
9,28,15
4,21,12
4,10,5
2,7,6
13,35,9
2,8,6
25,58,15
9,16,8
6,20,14
8,23,13
18,38,12
11,35,9
29,83,9
4,10,6
7,20,6
11,36,14
3,6,4
2,11,9
1,8,7
7,16,13
2,7,6
7,20,10
3,14,11
11,20,7
0,9,9
10,25,13
2,9,7
17,32,10
3,12,9
14,27,15
1,10,9
6,18,9
3,9,6
8,33,9
0,4,4
8,18,10
1,4,4
6,16,7
7,24,9
8,29,15
18,52,16
14,37,15
10,25,12
4,11,9
3,13,9
18,47,16
5,11,6
4,17,13
13,35,12
6,12,4
2,11,7
6,22,8
11,29,15
3,11,7
7,27,15
17,39,14
10,34,15
12,31,15
7,15,9
15,36,15
7,15,8
36,101,15
33,69,15
35,75,16
2,7,5
1,6,5
41,96,16
2,11,7
21,47,16
13,37,12
20,40,13
15,40,15
15,35,14
1,7,7
34,78,16
8,25,16
9,30,10
18,36,7
9,31,14
11,26,12
8,18,7
2,8,7
0,5,5
6,25,9
10,34,14
2,18,15
5,12,7
15,35,16
0,4,4
12,33,14
8,28,16
1,6,5
7,27,9
14,36,14
6,23,11
6,27,15
17,43,15
17,39,16
9,26,14
14,40,14
8,28,15
6,22,12
19,43,16
9,25,12
8,17,10
5,17,6
2,11,6
5,24,13
2,6,4
22,59,15
12,34,13
8,14,8
10,27,14
3,17,11
2,12,8
14,34,11
15,38,15
7,24,14
6,17,11
10,26,10
10,26,11
1,8,7
7,18,8
29,80,16
17,37,15
8,30,9
1,9,8
26,52,15
6,22,16
21,43,7
15,29,10
19,44,14
12,22,9
7,28,15
0,4,4
4,20,13
8,25,11
5,18,13
12,38,16
6,23,14
12,32,16
20,43,16
11,29,16
56,119,16
6,12,6
8,25,7
6,19,13
20,43,16
0,5,5
2,9,5
8,25,11
4,12,6
9,18,7
9,34,9
0,4,4
25,64,15
13,32,15
2,18,16
0,5,5
7,21,11
4,15,11
15,27,13
11,40,15
5,18,9
5,13,8
1,8,7
7,13,6
9,21,13
6,24,6
10,32,11
6,28,15
1,14,13
22,42,12
21,44,7
5,29,15
2,6,4
1,7,6
19,40,16
9,22,12
9,26,11
0,8,8
5,13,6
12,39,14
23,45,7
8,24,11
7,23,15
3,8,5
11,29,9
4,17,10
10,23,13
5,9,4
11,31,16
3,18,12
23,49,13
4,11,7
43,84,16
11,30,10
4,10,7
9,30,15
11,20,7
4,12,8
9,19,9
12,21,11
3,15,12
4,10,6
1,10,7
24,64,15
13,28,14
10,34,16
7,18,8
3,10,7
7,25,15
6,15,10
6,12,5
5,17,12
4,14,10
13,27,12
4,17,7
7,24,9
10,28,15
21,39,7
5,18,13
16,35,13
1,10,9
14,38,13
5,21,7
2,15,13
5,15,9
6,23,13
14,34,12
4,13,9
2,15,8
13,35,11
5,19,13
8,26,15
12,23,9
5,15,13
3,8,5
5,9,4
15,37,15
10,29,13
1,13,13
17,29,6
1,12,11
4,15,12
9,18,6
4,10,6
6,16,8
18,41,13
20,48,14
11,27,13
9,27,12
12,29,15
2,13,12
0,5,5
6,12,6
8,18,9
37,89,16
6,16,7
13,47,16
6,23,8
3,10,6
8,13,6
5,12,7
2,9,7
1,12,8
16,44,16
13,32,14
7,20,13
16,35,15
9,29,14
5,11,7
11,22,12
5,17,11
16,31,15
8,20,13
3,15,10
0,4,4
13,33,14
5,16,10
13,39,16
5,8,4
3,9,6
28,46,15
2,7,5
7,15,7
11,22,11
3,16,10
10,21,7
5,14,9
4,21,6
8,30,16
15,27,11
10,21,7
4,9,7
8,25,12
13,30,13
7,18,12
14,31,15
12,23,7
8,13,6
6,13,7
2,15,12
6,18,13
2,8,6
15,42,13
6,19,11
6,24,15
17,46,16
8,19,10
4,19,15
14,50,15
19,51,15
15,41,10
21,54,16
13,30,7
13,38,14
3,9,7
8,17,10
14,31,15
15,37,14
13,33,14
14,28,14
9,25,13
3,8,5
6,21,14
7,13,6
12,30,16
6,19,9
1,7,7
1,13,12
11,29,11
4,10,7
8,25,11
8,29,13
6,16,9
3,7,5
0,5,5
8,30,10
6,24,14
14,29,7
8,18,7
1,6,5
0,6,6
7,27,16
5,19,14
16,33,15
