n_d,n_genes,n_species
1,7,7
12,23,12
2,13,9
7,12,5
3,9,8
2,6,4
2,12,8
0,5,5
4,12,9
5,15,9
4,8,5
11,20,7
15,18,6
0,6,6
2,5,4
0,4,4
1,7,4
12,30,8
6,15,7
3,6,6
4,19,12
8,19,9
5,11,8
4,8,5
4,10,7
3,8,5
1,4,4
0,5,5
1,6,5
4,12,10
5,10,4
7,13,8
6,11,5
1,6,6
3,7,5
13,17,7
5,9,5
3,8,6
4,10,8
1,7,6
4,10,4
4,11,5
5,10,6
3,9,5
7,11,6
3,6,4
3,9,7
4,14,8
5,11,8
3,12,6
7,15,9
7,22,7
4,15,8
3,9,7
7,10,6
6,22,13
4,9,5
0,6,6
6,16,10
6,13,7
1,6,4
5,10,5
10,27,8
1,9,8
5,9,5
9,20,12
2,6,5
4,15,11
8,20,7
6,9,4
11,16,8
4,6,4
4,12,6
3,6,4
4,10,8
5,9,5
4,7,5
0,5,5
6,16,10
10,21,7
1,5,5
3,9,7
2,6,5
1,5,5
3,10,8
2,5,4
4,8,5
3,17,11
7,13,8
3,10,8
9,15,5
5,9,6
3,7,5
0,5,5
7,12,7
0,5,5
2,7,6
4,10,6
3,7,4
7,15,8
0,8,8
17,40,12
0,5,5
3,13,7
1,5,4
8,24,9
0,4,4
1,7,6
5,8,4
9,14,7
10,23,9
6,13,8
7,12,7
9,19,10
1,4,4
5,20,10
6,9,4
2,12,7
1,7,7
4,9,6
9,15,6
10,18,8
5,12,9
7,11,4
4,7,4
2,5,5
4,10,6
5,13,8
0,4,4
7,12,7
2,5,4
1,9,9
7,10,5
2,8,7
10,17,7
5,7,4
7,12,7
9,24,13
10,26,9
4,7,4
12,20,9
2,7,5
15,27,10
3,9,5
6,15,10
4,9,5
13,25,12
3,7,6
4,8,5
6,16,12
0,5,5
8,16,7
9,20,12
7,9,4
5,15,9
2,9,8
4,11,7
1,8,7
2,7,5
1,5,5
4,11,8
2,6,4
3,7,5
1,4,4
4,16,10
3,7,5
2,9,9
5,16,9
7,21,12
6,14,9
5,15,6
2,6,4
8,23,8
9,22,13
2,9,5
0,5,5
0,4,4
3,8,6
6,15,9
2,10,8
10,19,13
1,5,4
4,9,6
11,23,12
6,11,6
9,25,15
1,6,5
8,14,10
7,10,7
7,12,9
1,5,4
5,11,7
9,22,9
2,6,4
1,6,5
4,12,7
9,15,10
6,18,10
14,29,8
1,8,4
7,12,8
9,16,10
3,10,7
6,12,6
5,6,4
0,5,5
8,11,7
6,9,5
10,26,14
4,10,4
4,18,6
0,4,4
2,6,4
5,8,5
17,27,7
9,14,6
1,5,4
13,21,11
2,7,6
0,4,4
1,6,5
5,9,4
8,25,11
3,10,9
12,24,12
4,6,5
3,7,5
4,8,5
5,12,8
4,9,6
6,14,6
3,9,6
5,15,9
4,13,6
4,12,7
0,4,4
3,8,8
12,25,13
2,6,5
3,11,8
3,8,6
4,10,7
5,12,9
2,7,5
8,13,5
2,5,4
2,4,4
6,19,8
2,6,5
6,13,7
2,8,7
14,23,13
5,10,8
1,5,4
5,12,7
5,16,10
9,27,9
7,13,6
2,4,4
8,19,13
5,8,6
16,29,10
3,13,7
5,8,4
4,15,8
9,15,7
12,31,8
6,16,8
7,9,4
4,9,6
3,6,4
7,17,8
5,10,8
8,14,8
7,15,8
5,18,8
5,9,5
2,8,7
6,12,5
5,14,12
2,8,7
1,6,5
4,12,5
4,16,10
1,4,4
1,5,5
6,10,5
8,15,8
5,10,5
9,14,6
8,11,4
11,21,12
2,8,6
1,5,4
1,5,4
2,5,4
2,5,4
