rf,total_quartet,correct_quartet,correct_prop
2,966.75,751.35,0.7771916214119472
4,896.95,719.0,0.8016054406600145
2,1119.2,911.05,0.814018942101501
4,668.55,532.75,0.7968738314262209
2,943.85,769.7,0.8154897494305239
4,847.95,684.95,0.8077716846512176
10,589.45,476.15,0.8077869200101789
2,929.4,776.0,0.8349472778136432
4,897.5,710.8,0.7919777158774374
8,849.85,659.9,0.7764899688180267
4,1012.7,808.3,0.7981633257628122
8,1036.5,838.45,0.8089242643511818
6,914.85,718.4,0.7852653440454719
0,939.8,821.1,0.8736965311768461
4,869.9,754.35,0.8671686400735716
4,871.75,690.95,0.7926010897619731
2,845.4,753.65,0.8914714927844807
2,956.95,791.0,0.8265844610481217
2,780.45,595.25,0.7627010058299699
0,1176.85,982.85,0.8351531631048986
4,927.65,758.9,0.818088718805584
2,1089.45,889.45,0.8164211299279452
4,722.75,592.95,0.8204081632653061
4,887.2,726.25,0.8185865644724978
6,584.5,454.95,0.7783575705731395
2,1002.5,824.8,0.8227431421446384
0,939.2,779.0,0.8294293015332198
4,956.8,798.9,0.8349707357859532
4,839.2,669.95,0.7983198284080076
6,781.85,649.65,0.8309138581569355
6,1002.75,800.65,0.7984542508102718
6,1011.0,821.35,0.8124134520276953
4,557.45,473.2,0.8488653690913983
2,961.1,766.3,0.7973155759026116
0,1148.0,890.85,0.7760017421602787
2,840.1,676.25,0.8049636947982383
0,1136.1,982.2,0.8645365724848165
0,973.0,798.05,0.8201952723535457
4,761.55,629.75,0.8269319151730025
2,817.45,690.65,0.8448834791118723
0,991.05,829.35,0.8368397154533072
2,1111.35,926.55,0.8337157511135106
0,954.55,782.8,0.8200722853700697
4,924.9,788.75,0.8527948967455942
6,758.65,612.45,0.8072892638238978
4,1194.9,1006.35,0.8422043685664072
2,898.2,720.75,0.802438209752839
4,702.05,579.35,0.8252261234954775
8,855.7,675.4,0.7892953137781933
6,643.95,518.6,0.8053420296606879
2,1099.7,898.8,0.8173138128580522
0,933.65,738.85,0.7913565040432711
0,998.3,850.25,0.8516978864068917
4,831.0,637.35,0.7669675090252708
8,757.4,591.35,0.7807631370477951
4,713.0,567.95,0.7965638148667602
0,825.05,703.5,0.8526755954184595
6,971.6,771.75,0.7943083573487032
0,929.25,764.1,0.8222760290556901
2,1188.65,931.75,0.7838724603541833
2,653.55,540.5,0.8270216509830923
2,852.55,729.8,0.8560201747698082
6,680.85,519.0,0.7622824410663142
2,1074.95,915.6,0.8517605470021862
0,1146.15,924.2,0.8063516991667757
4,969.95,802.15,0.8270013918243209
8,851.45,666.85,0.7831933760056374
4,902.45,737.1,0.8167765527176021
0,641.3,532.55,0.8304225791361297
0,1102.65,945.4,0.8573890173672516
2,1083.1,920.15,0.8495522112454991
0,943.2,821.55,0.8710241730279898
