rf,total_quartet,correct_quartet,correct_prop
0,182.55,156.4,0.8567515749109833
0,367.05,308.75,0.8411660536711619
2,299.55,260.35,0.8691370388916708
0,299.1,273.05,0.912905382815112
8,294.35,218.1,0.7409546458297944
4,283.2,226.65,0.8003177966101694
2,230.1,192.2,0.8352890047805303
2,235.95,202.85,0.8597160415342233
10,186.2,147.25,0.7908163265306123
6,187.05,160.05,0.8556535685645549
0,223.65,207.8,0.9291303375810418
10,111.0,89.7,0.8081081081081081
4,290.85,229.7,0.7897541688155406
4,462.8,376.55,0.8136343993085566
2,313.9,240.95,0.7676011468620579
0,190.65,158.8,0.8329399423026488
2,345.55,296.65,0.8584864708435826
0,110.2,99.5,0.9029038112522686
2,261.95,208.75,0.7969078068333652
2,274.25,223.15,0.8136736554238834
6,209.4,176.55,0.8431232091690545
10,184.55,152.95,0.8287726903278244
0,190.9,172.55,0.9038763750654794
4,289.5,256.0,0.8842832469775475
0,243.85,214.15,0.8782038138199713
2,145.65,120.95,0.8304153793340199
0,176.25,166.15,0.9426950354609929
10,133.0,109.9,0.8263157894736842
14,184.05,139.25,0.7565878837272481
2,126.65,109.95,0.8681405448085274
8,210.1,169.95,0.8089005235602095
2,189.15,167.15,0.8836901929685435
0,245.55,229.4,0.9342292812054571
0,310.0,277.45,0.895
4,312.15,260.9,0.8358161140477335
2,180.7,157.05,0.869120088544549
8,190.85,170.1,0.8912758711029605
6,103.15,83.75,0.8119243819680078
8,303.7,258.2,0.8501810997695094
0,130.55,110.55,0.8468019915741095
2,250.7,228.75,0.912445153570004
4,183.9,150.45,0.8181076672104405
0,256.15,235.95,0.9211399570564123
2,157.15,127.8,0.8132357620108177
0,310.65,280.9,0.904233059713504
0,67.75,61.55,0.9084870848708487
4,335.15,285.0,0.8503655079815008
2,223.65,180.7,0.8079588642968925
0,168.45,151.55,0.8996734936182843
2,191.35,167.2,0.8737914815782597
0,163.45,140.6,0.8602018966044662
0,230.75,211.15,0.9150595882990249
0,319.55,286.15,0.8954780159599437
0,252.75,213.5,0.8447082096933729
8,282.7,216.2,0.7647683056243367
8,71.2,56.5,0.7935393258426966
10,193.45,158.4,0.8188162315843888
2,105.85,93.0,0.8786017949929145
2,256.8,214.4,0.8348909657320872
6,244.0,210.15,0.8612704918032786
2,169.65,143.6,0.8464485705865016
12,147.05,122.6,0.8337300238014281
4,168.9,139.1,0.8235642391947898
0,394.7,355.55,0.9008107423359514
2,140.65,125.8,0.8944187699964451
0,203.05,173.35,0.8537306082245752
4,184.05,163.1,0.8861722358054877
6,145.7,119.6,0.8208647906657516
2,261.35,223.25,0.8542184809642243
2,361.6,296.9,0.8210730088495575
0,205.65,174.65,0.849258448820812
8,248.0,202.85,0.8179435483870968
8,170.9,145.1,0.8490345231129316
0,255.15,230.2,0.9022143836958652
0,360.3,298.3,0.8279211767971135
8,282.2,233.5,0.8274273564847626
2,165.65,152.45,0.9203139148807727
2,215.5,182.45,0.8466357308584687
4,223.85,200.05,0.8936788027697119
8,204.8,176.55,0.862060546875
4,337.9,271.8,0.8043799940810891
2,146.95,129.55,0.8815923783599864
2,298.2,239.15,0.8019785378940308
4,255.25,218.7,0.8568070519098923
4,271.4,252.95,0.9320191599115696
8,193.3,148.45,0.7679772374547336
4,309.8,256.05,0.8265009683666882
6,189.85,155.45,0.8188043191993679
4,113.3,99.5,0.8781994704324801
4,277.35,227.15,0.8190012619433928
0,216.95,200.75,0.9253284166858723
4,176.3,154.65,0.8771979580260919
2,237.2,206.05,0.8686762225969646
6,196.05,162.8,0.8304004080591686
0,248.2,223.15,0.8990733279613216
4,153.0,126.55,0.8271241830065359
8,180.2,151.2,0.8390677025527192
0,140.25,123.6,0.881283422459893
2,177.55,148.1,0.8341312306392565
2,241.2,225.65,0.935530679933665
0,393.3,330.25,0.8396898042206967
4,254.8,205.15,0.8051412872841445
8,120.8,100.8,0.8344370860927153
0,415.55,349.65,0.8414149921790398
18,96.8,71.4,0.737603305785124
0,412.85,323.95,0.7846675548019862
6,188.55,169.0,0.896313975072925
0,137.25,129.2,0.9413479052823315
4,262.45,233.65,0.8902648123452086
2,216.2,193.75,0.8961609620721555
0,447.2,391.7,0.8758944543828264
4,196.45,164.1,0.8353270552303385
8,59.65,48.05,0.8055322715842415
6,196.25,171.2,0.8723566878980892
4,231.0,194.5,0.841991341991342
10,126.25,111.45,0.8827722772277228
2,166.95,148.95,0.8921832884097035
16,178.75,142.2,0.7955244755244755
2,279.7,235.15,0.8407222023596711
8,47.6,40.75,0.8560924369747899
4,269.35,238.0,0.883608687581214
6,224.25,187.0,0.8338907469342252
2,145.5,129.2,0.8879725085910652
2,265.65,232.9,0.8767174854131375
0,258.4,230.65,0.892608359133127
2,349.9,318.9,0.9114032580737353
0,233.95,205.15,0.876896772814704
10,150.1,128.7,0.8574283810792804
2,272.45,212.8,0.7810607450908423
0,241.6,204.45,0.8462334437086093
4,167.0,147.5,0.8832335329341318
0,341.3,290.1,0.8499853501318488
6,376.55,307.3,0.8160934802815031
4,193.05,168.55,0.8730898730898731
0,149.7,130.55,0.8720774883099532
4,253.8,212.6,0.8376674546887313
12,203.2,166.85,0.8211122047244095
0,304.2,270.05,0.8877383300460223
4,239.8,207.2,0.8640533778148457
4,274.05,237.85,0.8679073161831783
0,408.25,327.6,0.8024494794856093
8,129.6,107.2,0.8271604938271605
0,343.7,290.15,0.8441955193482689
16,191.15,155.15,0.8116662307088673
0,193.15,176.15,0.9119855034946932
0,240.35,211.65,0.8805908050759309
0,164.15,141.8,0.8638440450807189
6,173.6,141.1,0.8127880184331797
4,288.6,248.9,0.8624393624393625
0,167.2,143.2,0.8564593301435407
0,223.2,195.5,0.8758960573476703
6,48.5,40.15,0.8278350515463917
2,199.45,161.3,0.8087239909751818
4,162.55,142.25,0.8751153491233467
4,132.4,115.95,0.8757552870090635
0,267.45,235.5,0.8805384183959618
12,266.05,216.15,0.8124412704378876
4,228.0,192.6,0.8447368421052631
4,275.2,237.4,0.8626453488372093
14,131.75,97.6,0.7407969639468691
2,216.6,191.85,0.8857340720221607
2,355.55,301.5,0.8479819997187457
0,284.2,242.1,0.8518648838845884
4,238.2,185.35,0.7781276238455079
0,245.15,215.5,0.8790536406281868
12,134.4,111.15,0.8270089285714286
0,160.7,134.3,0.8357187305538271
6,145.1,134.5,0.926946933149552
4,305.2,244.0,0.799475753604194
6,187.45,149.55,0.7978127500666844
6,200.7,156.9,0.7817638266068759
4,133.45,119.4,0.8947171225177969
2,421.75,348.7,0.8267931238885595
2,269.6,231.0,0.8568249258160238
6,148.95,128.2,0.860691507217187
14,122.0,99.7,0.8172131147540984
16,94.9,69.6,0.7334035827186512
8,312.7,240.7,0.7697473616885193
2,115.3,97.9,0.8490893321769297
2,299.25,267.75,0.8947368421052632
8,192.5,154.9,0.8046753246753247
4,146.95,117.8,0.8016332085743451
0,159.3,148.3,0.9309478970495919
6,128.7,92.85,0.7214452214452215
8,186.55,172.15,0.9228088984186545
4,203.25,155.65,0.7658056580565805
6,187.85,142.15,0.7567207878626564
12,220.25,173.45,0.7875141884222474
0,138.65,123.95,0.8939776415434547
4,225.0,183.5,0.8155555555555556
2,275.0,227.7,0.828
4,285.85,252.05,0.881756165821235
6,128.65,111.3,0.8651379712397979
4,198.5,176.75,0.8904282115869018
0,284.95,252.15,0.8848920863309353
4,302.15,248.25,0.8216117822273705
18,162.85,118.1,0.7252072459318392
0,237.85,230.65,0.9697288206853059
14,123.35,91.2,0.7393595460072964
0,141.65,115.1,0.8125661842569714
12,225.5,183.6,0.8141906873614191
2,242.8,209.95,0.8647034596375618
2,187.45,166.9,0.8903707655374766
0,255.55,224.4,0.878106045783604
6,172.7,143.95,0.8335263462651997
6,263.6,212.05,0.8044385432473444
0,302.75,274.45,0.906523534269199
8,112.0,91.9,0.8205357142857143
6,188.8,161.45,0.8551377118644068
2,323.3,255.65,0.7907516238787504
6,428.55,330.05,0.770155174425388
2,284.25,242.9,0.8545294635004398
10,177.65,144.45,0.8131156768927666
4,175.55,153.15,0.8724010253489034
2,243.7,207.95,0.8533032416906032
2,334.7,265.25,0.792500746937556
0,269.4,239.65,0.8895694135115071
0,240.2,196.55,0.8182764363030808
0,222.05,201.95,0.909479846881333
2,172.9,144.35,0.8348756506651244
0,157.75,144.75,0.9175911251980983
2,407.5,359.65,0.8825766871165645
0,263.9,209.6,0.7942402425161046
0,283.15,244.55,0.8636764965565954
0,211.75,184.95,0.873435655253837
0,248.15,216.95,0.8742695950030224
0,282.35,230.75,0.8172480963343368
0,110.9,95.75,0.8633904418394951
2,164.0,131.3,0.800609756097561
2,345.2,282.0,0.816917728852839
16,139.95,107.25,0.7663451232583065
0,482.6,403.4,0.8358889349357647
10,82.1,67.35,0.820341047503045
6,218.35,173.4,0.7941378520723609
6,148.8,130.3,0.8756720430107527
0,129.45,106.9,0.8258014677481653
0,102.2,98.85,0.9672211350293543
2,108.85,89.15,0.8190169958658705
4,212.05,176.05,0.830228719641594
2,260.55,212.85,0.8169257340241797
0,188.0,172.2,0.9159574468085107
0,277.7,214.65,0.7729564277997839
4,242.05,191.6,0.7915719892584177
2,315.95,270.4,0.8558316189270454
10,160.9,128.55,0.7989434431323804
4,204.3,182.65,0.8940283896231033
2,218.05,187.5,0.859894519605595
8,210.45,182.0,0.8648134948918983
4,137.75,110.2,0.8
2,84.85,63.15,0.7442545668827343
6,190.45,155.7,0.8175374113940667
6,200.1,173.1,0.8650674662668666
6,92.8,80.45,0.8669181034482759
0,319.25,286.4,0.8971025841816758
2,160.3,148.0,0.9232688708671242
8,123.3,100.2,0.8126520681265207
4,326.75,270.7,0.8284621270084163
6,217.15,187.85,0.8650702279530279
8,177.1,143.3,0.8091473743647657
2,220.35,179.1,0.8127978216473791
2,289.1,243.15,0.8410584572812175
16,184.65,145.65,0.7887896019496344
0,227.25,199.95,0.8798679867986798
4,153.8,134.35,0.8735370611183355
0,152.85,149.3,0.9767746156362447
0,191.55,181.4,0.9470112242234403
0,356.95,311.2,0.8718307886258579
6,166.75,132.25,0.7931034482758621
4,234.75,200.7,0.8549520766773163
10,246.15,198.3,0.805606337599025
0,204.85,180.4,0.8806443739321455
8,89.85,76.9,0.8558708959376738
0,282.55,257.4,0.9109892054503628
0,227.3,199.7,0.8785745710514739
6,272.5,224.35,0.823302752293578
0,290.45,266.5,0.9175417455672232
8,132.9,109.55,0.8243039879608728
4,225.0,202.15,0.8984444444444445
0,188.9,160.15,0.847803070407623
0,296.2,274.6,0.9270762997974341
8,374.0,302.4,0.8085561497326204
4,174.5,139.2,0.7977077363896848
2,357.3,285.95,0.8003078645396026
10,153.4,114.6,0.7470664928292047
6,175.85,152.0,0.864373045208985
4,206.05,170.1,0.8255277845183208
2,286.6,239.9,0.8370551290997906
10,263.85,218.45,0.8279325374265681
4,266.5,228.65,0.8579737335834897
4,74.85,55.35,0.7394789579158316
2,240.35,220.55,0.9176201372997712
8,257.35,192.05,0.7462599572566544
2,217.55,185.8,0.8540565387267295
2,243.05,213.6,0.8788315161489405
2,362.4,312.25,0.8616169977924945
