rf,total_quartet,correct_quartet,correct_prop
4,965.65,835.25,0.864961424946927
2,519.2,455.5,0.87731124807396
2,579.35,482.05,0.8320531630275309
4,873.4,749.9,0.8585985802610487
4,502.9,440.6,0.8761185126267648
4,758.95,689.05,0.9078990710850517
4,648.95,567.0,0.8737190846752446
4,722.6,617.85,0.8550373650705785
4,792.25,692.05,0.8735247712212054
0,563.0,504.9,0.8968028419182948
0,555.75,482.15,0.8675663517768781
6,687.6,594.35,0.8643833624200117
2,466.25,401.6,0.8613404825737265
4,742.7,625.0,0.8415241685741215
6,707.5,574.65,0.812226148409894
2,826.95,743.1,0.898603301287865
0,722.95,653.15,0.9034511376997026
4,846.05,695.55,0.8221145322380474
0,523.8,453.8,0.8663612065673921
0,432.8,384.3,0.8879390018484289
6,704.6,585.5,0.8309679250638661
4,704.55,594.4,0.8436590731672698
0,605.05,526.35,0.8699281051152797
2,738.95,642.15,0.8690033155152581
4,542.05,477.7,0.8812840143898164
8,495.55,400.4,0.8079911209766926
2,546.05,487.35,0.8925006867502976
2,585.75,487.25,0.831839521980367
2,633.75,559.45,0.8827613412228796
4,614.95,537.55,0.8741361086267176
2,776.55,679.1,0.8745090464232824
4,747.4,617.65,0.8263981803585764
0,985.2,882.7,0.8959602111246447
2,559.3,490.65,0.8772572858930806
2,755.7,630.5,0.8343257906576684
4,772.0,639.55,0.8284326424870466
6,502.95,413.05,0.821254597872552
2,550.85,470.8,0.8546791322501588
2,531.35,479.4,0.902230168438882
4,478.3,402.45,0.8414175203846957
4,627.1,515.5,0.8220379524796683
0,670.4,607.65,0.9063991646778043
2,482.4,418.6,0.8677446102819237
2,919.15,833.75,0.9070880704999184
0,643.25,593.45,0.9225806451612903
2,950.35,810.05,0.8523701794075866
0,816.8,722.6,0.8846718903036239
4,572.45,486.6,0.8500305703554896
4,1006.4,851.2,0.8457869634340223
0,802.45,690.0,0.8598666583587763
2,780.65,623.75,0.7990136424774227
2,665.8,576.7,0.8661760288374888
0,582.05,522.3,0.8973455888669358
0,846.55,740.25,0.8744315161538008
6,694.85,576.8,0.8301072173850471
6,725.1,612.95,0.8453316783891877
4,609.25,516.55,0.847845711940911
2,606.0,554.3,0.9146864686468646
2,735.45,608.65,0.8275885512271398
0,517.45,429.1,0.8292588655908784
4,366.95,296.6,0.8082845074260798
0,733.6,642.7,0.8760905125408942
0,675.45,577.75,0.8553556888000592
6,440.2,381.9,0.8675601999091322
4,831.35,688.7,0.8284116196547784
2,638.4,522.25,0.8180607769423559
0,513.5,450.25,0.8768257059396299
2,768.25,675.25,0.8789456557110316
4,666.25,556.0,0.8345215759849907
2,588.3,507.8,0.8631650518442971
2,804.55,679.35,0.8443850599714126
4,826.5,699.9,0.8468239564428313
2,920.2,810.35,0.880623777439687
0,548.3,473.9,0.8643078606602225
0,635.65,562.7,0.8852355856210179
4,544.3,452.05,0.8305162594157633
0,618.8,560.5,0.9057853910795087
2,772.85,653.45,0.8455068900821634
2,632.25,560.7,0.8868327402135231
4,623.45,519.4,0.8331061031357767
0,681.8,581.7,0.8531827515400411
4,640.9,551.6,0.8606646902792947
0,721.9,615.2,0.8521955949577504
0,755.85,641.4,0.8485810676721571
6,445.15,384.55,0.8638661125463327
2,681.9,592.45,0.8688224079777094
0,688.45,570.9,0.8292541215774566
2,490.0,425.65,0.8686734693877551
0,707.2,608.7,0.8607183257918553
2,673.0,596.4,0.8861812778603269
0,820.4,720.65,0.8784129692832765
2,730.55,634.35,0.8683183902539183
4,658.2,585.1,0.8889395320571255
4,831.95,715.45,0.8599675461265701
2,532.6,455.25,0.8547690574539992
0,642.9,547.25,0.8512210297091305
2,600.45,505.2,0.8413689732700474
0,604.3,526.65,0.8715042197583982
2,628.95,527.8,0.8391764051196439
2,903.55,761.8,0.8431188091417188
2,719.45,621.25,0.8635068455069845
0,695.3,599.25,0.8618581907090465
2,597.8,496.75,0.8309635329541653
4,523.8,425.25,0.8118556701030928
2,546.45,469.15,0.8585414951047672
0,788.85,700.65,0.8881916714204221
8,519.45,432.4,0.8324189046106458
6,863.75,719.75,0.8332850940665701
2,559.95,493.15,0.8807036342530583
0,584.15,499.1,0.8544038346315159
2,600.95,492.1,0.8188701223063483
0,713.7,643.2,0.9012189995796553
2,687.8,560.4,0.8147717359697586
4,488.35,421.0,0.8620866182041569
6,615.05,518.3,0.8426957157954638
2,670.5,575.85,0.8588366890380313
4,623.0,500.2,0.8028892455858748
4,773.7,674.3,0.8715264314333722
0,716.05,619.95,0.8657914950073319
2,822.9,700.6,0.8513792684408799
6,603.0,530.05,0.8790215588723052
0,424.2,379.45,0.8945073078736445
0,695.65,609.3,0.8758714870983971
0,855.0,771.7,0.9025730994152047
0,725.75,613.4,0.8451946262487082
2,471.2,394.8,0.8378607809847198
0,558.7,493.4,0.8831215321281547
4,643.5,545.2,0.8472416472416472
0,783.0,663.6,0.8475095785440613
4,556.75,495.95,0.8907947911989224
8,490.4,405.9,0.8276916802610114
2,575.55,484.95,0.8425853531404743
